Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
James Tarkowski,eng ENG,DF,30-082,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.86,16.0,28.0,-12.0,-0.57,,22.1,34.4,-12.3,-0.59,,Matches
Alex Iwobi,ng NGA,MF,26-282,21,1872.0,89.0,99.0,20.8,21,89.0,20,0,,0,0.86,16.0,28.0,-12.0,-0.58,-0.58,22.1,33.8,-11.7,-0.56,2.31,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,21,1778.0,85.0,94.1,19.8,21,85.0,18,0,,0,0.86,16.0,27.0,-11.0,-0.56,0.25,21.1,32.3,-11.2,-0.57,0.3,Matches
Jordan Pickford,eng ENG,GK,28-339,20,1800.0,90.0,95.2,20.0,20,90.0,20,0,,0,0.75,15.0,28.0,-13.0,-0.65,-1.65,21.7,33.3,-11.6,-0.58,0.09,Matches
Conor Coady,eng ENG,DF,29-349,19,1700.0,89.0,89.9,18.9,19,89.0,18,0,,0,0.95,14.0,24.0,-10.0,-0.53,0.42,18.9,30.6,-11.8,-0.62,-0.36,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,20,1679.0,84.0,88.8,18.7,19,87.0,13,1,35.0,1,0.75,12.0,26.0,-14.0,-0.75,-1.6,18.5,29.9,-11.4,-0.61,-0.24,Matches
Amadou Onana,be BEL,MF,21-177,19,1485.0,78.0,78.6,16.5,17,85.0,12,2,22.0,0,0.95,14.0,20.0,-6.0,-0.36,0.97,18.3,27.2,-8.8,-0.54,0.23,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,16,1221.0,76.0,64.6,13.6,15,79.0,6,1,29.0,0,0.94,11.0,19.0,-8.0,-0.59,-0.05,12.7,22.3,-9.6,-0.7,-0.34,Matches
Anthony Gordon,eng ENG,FW,21-350,16,1095.0,68.0,57.9,12.2,12,85.0,7,4,19.0,1,0.88,10.0,13.0,-3.0,-0.25,0.77,13.2,17.5,-4.3,-0.36,0.54,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,13,988.0,76.0,52.3,11.0,11,86.0,9,2,24.0,0,0.69,7.0,17.0,-10.0,-0.91,-0.71,10.9,18.1,-7.2,-0.66,-0.15,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,19,981.0,52.0,51.9,10.9,11,73.0,3,8,22.0,2,0.89,8.0,17.0,-9.0,-0.83,-0.53,12.2,19.2,-7.0,-0.64,-0.11,Matches
Séamus Coleman,ie IRL,DF,34-121,13,857.0,66.0,45.3,9.5,10,75.0,4,3,37.0,7,0.85,9.0,10.0,-1.0,-0.11,0.85,10.5,16.0,-5.6,-0.58,0.0,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,11,731.0,66.0,38.7,8.1,9,77.0,3,2,20.0,0,0.73,5.0,12.0,-7.0,-0.86,-0.47,7.9,12.5,-4.5,-0.56,0.04,Matches
Neal Maupay,fr FRA,FW,26-179,14,712.0,51.0,37.7,7.9,7,81.0,1,7,20.0,2,1.07,7.0,9.0,-2.0,-0.25,0.51,7.7,13.6,-5.9,-0.75,-0.26,Matches
Tom Davies,eng ENG,MF,24-224,10,413.0,41.0,21.9,4.6,4,66.0,1,6,25.0,10,1.1,2.0,7.0,-5.0,-1.09,-0.66,4.6,8.9,-4.3,-0.93,-0.45,Matches
Mason Holgate,eng ENG,DF,26-110,4,320.0,80.0,16.9,3.6,3,82.0,2,1,73.0,9,0.5,3.0,4.0,-1.0,-0.28,0.35,4.5,5.8,-1.3,-0.36,0.28,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,11,318.0,29.0,16.8,3.5,3,71.0,2,8,13.0,4,1.18,2.0,4.0,-2.0,-0.57,0.01,4.5,5.5,-0.9,-0.26,0.39,Matches
Yerry Mina,co COL,DF,28-139,3,234.0,78.0,12.4,2.6,3,78.0,1,0,,4,0.0,1.0,4.0,-3.0,-1.15,-0.66,2.3,4.1,-1.8,-0.7,-0.13,Matches
Ben Godfrey,eng ENG,DF,25-025,4,211.0,53.0,11.2,2.3,3,65.0,1,1,15.0,2,0.25,2.0,4.0,-2.0,-0.85,-0.32,2.1,2.9,-0.8,-0.32,0.3,Matches
Salomón Rondón,ve VEN,FW,33-146,7,109.0,16.0,5.8,1.2,1,56.0,0,6,9.0,3,1.14,1.0,2.0,-1.0,-0.83,-0.27,1.8,2.8,-1.0,-0.81,-0.24,Matches
Asmir Begović,ba BIH,GK,35-234,1,90.0,90.0,4.8,1.0,1,90.0,1,0,,20,3.0,1.0,0.0,1.0,1.0,1.65,0.4,1.0,-0.7,-0.67,-0.09,Matches
James Garner,eng ENG,MF,21-333,6,142.0,24.0,7.5,1.6,0,,0,6,24.0,2,0.67,1.0,2.0,-1.0,-0.63,-0.07,1.0,2.7,-1.6,-1.02,-0.47,Matches
Dele Alli,eng ENG,MF,26-304,2,40.0,20.0,2.1,0.4,0,,0,2,20.0,1,0.0,1.0,1.0,0.0,0.0,0.58,1.0,1.7,-0.7,-1.57,-1.01,Matches
Isaac Price,nir NIR,MF,19-136,1,33.0,33.0,1.7,0.4,0,,0,1,33.0,2,0.0,1.0,0.0,1.0,2.73,3.36,1.0,0.4,0.6,1.61,2.23,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,2,26.0,13.0,1.4,0.3,0,,0,2,13.0,14,0.5,0.0,0.0,0.0,0.0,0.58,0.1,0.3,-0.3,-0.88,-0.3,Matches
