Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,4,0,0,20,13,0,0,29,13,0,0,0,91,58,25,69.9,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,2,0,0,10,6,4,46,13,21,1,0,0,131,4,13,23.5,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,3,0,0,19,13,0,35,26,17,0,0,0,97,14,25,35.9,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,4,0,0,1,2,0,0,2,0,0,1,0,19,4,3,57.1,Matches
Conor Coady,eng ENG,DF,29-349,18.9,1,0,0,8,11,2,1,12,8,0,0,0,74,21,21,50.0,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,1,0,0,10,28,8,134,10,13,0,0,0,69,7,18,28.0,Matches
Amadou Onana,be BEL,MF,21-177,16.5,6,0,0,30,34,0,3,19,33,0,0,0,90,33,34,49.3,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,3,0,0,18,29,0,4,32,21,0,0,0,127,14,13,51.9,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,6,0,0,20,15,3,25,4,22,0,0,0,56,9,29,23.7,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,3,0,0,8,10,1,29,11,17,0,0,0,67,7,8,46.7,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,2,0,0,4,7,1,69,8,20,0,0,0,53,4,11,26.7,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,0,0,0,4,9,0,10,12,13,0,0,0,50,7,6,53.8,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,1,0,0,12,8,14,2,1,1,0,0,0,17,35,41,46.1,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,3,0,0,10,16,1,1,2,3,0,0,0,20,10,23,30.3,Matches
Tom Davies,eng ENG,MF,24-224,4.6,2,0,0,3,5,1,1,3,7,0,0,0,21,7,12,36.8,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,1,0,0,3,4,0,1,6,4,0,0,0,16,6,6,50.0,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,1,0,0,3,1,1,1,2,5,0,1,0,25,4,6,40.0,Matches
Yerry Mina,co COL,DF,28-139,2.6,1,0,0,4,3,0,0,2,4,0,0,0,12,7,7,50.0,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,0,0,0,3,1,0,1,2,3,0,0,0,9,3,2,60.0,Matches
Salomón Rondón,ve VEN,FW,33-146,1.2,0,0,0,4,0,2,0,0,0,0,0,0,1,7,6,53.8,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
James Garner,eng ENG,MF,21-333,1.6,1,0,0,4,0,1,6,4,5,0,0,0,13,2,1,66.7,Matches
Dele Alli,eng ENG,MF,26-304,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
Isaac Price,nir NIR,MF,19-136,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,0.3,0,0,0,0,3,0,2,0,2,0,0,0,4,0,1,0.0,Matches
Thomas Cannon,ie IRL,FW,20-043,0.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Michael Keane,eng ENG,DF,30-029,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Ellis Simms,eng ENG,FW,22-035,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
Squad Total,,,26.9,21.0,46,0,0,199,221,39,372,200,232,1,2,0,1065,266,318,45.5,
Opponent Total,,,27.2,21.0,45,0,0,235,192,26,424,155,207,2,1,1,1110,318,266,54.5,
