Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,1063,1021,37,35,2,11,0,2,0,0,0,0,896,5,3,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,914,883,25,2,9,10,46,14,5,4,0,0,721,6,21,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,905,738,160,8,1,1,35,150,2,1,1,0,689,7,19,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,736,483,250,72,1,2,0,0,0,0,0,0,455,3,1,Matches
Conor Coady,eng ENG,DF,29-349,18.9,1000,963,32,28,1,8,1,3,0,0,0,0,844,5,1,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,632,499,133,44,2,7,134,5,60,39,20,0,432,0,26,Matches
Amadou Onana,be BEL,MF,21-177,16.5,629,622,5,3,3,6,3,1,0,0,0,0,530,2,3,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,664,649,12,11,1,4,4,1,0,0,0,0,568,3,13,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,280,272,7,0,1,1,25,1,2,2,0,0,193,1,10,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,517,399,117,5,1,0,29,112,0,0,0,0,396,1,9,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,400,352,47,12,2,3,69,8,27,24,1,0,289,1,19,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,404,325,79,8,0,2,10,71,0,0,0,0,328,0,13,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,139,138,1,0,0,0,2,0,0,0,0,0,86,0,4,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,154,137,16,1,0,0,1,2,0,0,0,0,115,1,7,Matches
Tom Davies,eng ENG,MF,24-224,4.6,183,178,4,4,3,3,1,0,0,0,0,0,139,1,3,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,148,139,8,5,1,5,1,3,0,0,0,0,107,1,1,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,149,148,0,0,0,0,1,0,0,0,0,0,117,1,1,Matches
Yerry Mina,co COL,DF,28-139,2.6,174,163,11,10,0,1,0,1,0,0,0,0,156,0,0,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,87,80,6,1,0,0,1,5,0,0,0,0,69,1,1,Matches
Salomón Rondón,ve VEN,FW,33-146,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0,Matches
James Garner,eng ENG,MF,21-333,1.6,79,74,5,0,0,1,6,0,5,4,1,0,59,0,2,Matches
Dele Alli,eng ENG,MF,26-304,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches
Isaac Price,nir NIR,MF,19-136,0.4,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1,Matches
Thomas Cannon,ie IRL,FW,20-043,0.3,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Michael Keane,eng ENG,DF,30-029,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Ellis Simms,eng ENG,FW,22-035,0.2,4,4,0,0,1,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,26.9,21.0,9382,8370,973,252,29,65,372,384,101,74,23,0,7280,39,159,
Opponent Total,,,27.2,21.0,11249,10203,1020,226,32,72,424,476,137,66,34,1,9072,26,223,
