Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Carel Eiting,nl NED,MF,25-036,25.7,935,780,149,59,6,2,95,4,64,31,21,2,617,6,19,Matches
Filip Stankovic,rs SRB,GK,21-022,25.0,902,591,305,60,1,3,0,0,0,0,0,0,508,6,0,Matches
Derry Murkin,eng ENG,DF,23-235,23.8,1120,881,236,19,1,12,62,217,0,0,0,0,740,3,31,Matches
Damon Mirani,nl NED,"DF,MF",26-310,22.5,996,963,32,26,0,10,1,6,0,0,0,0,801,1,7,Matches
Brian Plat,nl NED,DF,22-348,21.0,722,578,139,10,0,2,22,129,0,0,0,0,499,5,22,Matches
Xavier Mbuyamba,nl NED,DF,21-078,19.8,841,806,31,20,1,8,0,11,0,0,0,0,619,4,12,Matches
Robert Mühren,nl NED,"FW,MF",33-305,17.3,329,298,30,1,0,3,5,4,0,0,0,0,211,1,6,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-345,18.3,801,755,39,30,1,15,3,9,0,0,0,0,643,7,8,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-172,15.1,308,298,7,2,2,3,23,3,2,1,1,0,208,3,9,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-104,14.8,474,406,67,11,0,7,59,34,21,12,5,0,300,1,11,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-234,10.5,286,250,35,6,0,6,55,23,6,5,0,0,187,1,13,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-055,7.9,255,225,30,0,0,0,40,6,24,20,0,0,197,0,4,Matches
Calvin Twigt,nl NED,MF,20-048,7.6,209,209,0,0,1,3,1,0,0,0,0,0,157,0,7,Matches
Florent da Silva,fr FRA,MF,19-351,7.4,323,312,11,2,0,3,6,7,0,0,0,0,236,0,7,Matches
Oskar Buur,dk DEN,"DF,MF",24-353,6.2,170,140,30,0,0,0,10,30,0,0,0,0,107,0,9,Matches
Josh Flint,eng ENG,DF,22-157,7.1,271,259,9,6,2,0,2,3,0,0,0,0,182,3,2,Matches
Henk Veerman,nl NED,FW,29-262,10.0,196,166,30,0,0,0,5,1,1,0,0,0,118,0,4,Matches
Francesco Antonucci,be BEL,"MF,FW",23-272,4.7,151,142,8,1,1,8,6,2,3,3,0,0,106,1,2,Matches
Dean James,nl NED,DF,22-323,4.8,160,128,31,0,0,4,7,31,0,0,0,0,117,1,4,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-133,6.0,185,179,4,1,1,3,8,3,0,0,0,0,119,2,7,Matches
Achraf Douiri,nl NED,"DF,FW",23-112,3.1,130,105,25,1,0,0,7,23,1,1,0,0,93,0,8,Matches
Billy van Duijl,nl NED,DF,17-166,1.6,83,78,5,4,0,1,0,1,0,0,0,0,65,0,0,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-113,2.4,51,48,3,0,0,1,2,1,0,0,0,0,23,0,0,Matches
Barry Lauwers,nl NED,GK,23-110,1.0,36,20,16,3,0,0,0,0,0,0,0,0,19,0,0,Matches
Imran Nazih,nl NED,MF,17-053,0.6,24,24,0,0,0,0,0,0,0,0,0,0,19,0,1,Matches
Jordi Blom,nl NED,FW,20-287,0.5,11,10,1,0,0,0,2,1,0,0,0,0,5,0,1,Matches
Joey Antonioli,nl NED,MF,19-094,0.4,11,11,0,0,0,1,0,0,0,0,0,0,8,0,0,Matches
Deron Payne,nl NED,DF,20-175,0.1,6,4,2,0,0,0,0,2,0,0,0,0,4,0,0,Matches
Flip Klomp,nl NED,MF,21-152,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Givairo Read,,DF,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,24.6,26.0,9993,8673,1275,262,17,95,421,551,122,73,27,2,6912,45,195,
Opponent Total,,,25.5,26.0,14968,13569,1347,278,46,116,579,642,192,87,63,1,11836,52,242,
