Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Filip Stankovic,rs SRB,GK,21-040,26,26,2340,26.0,56,2.15,167,115,67.7,6,6,14,3,11.5,2,2,0,0,0.0,Matches
Barry Lauwers,nl NED,GK,23-128,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,24.6,27,27,2430,27.0,56,2.07,168,116,67.9,7,6,14,4,14.8,2,2,0,0,0.0,
Opponent Total,,,25.6,27,27,2430,27.0,31,1.15,106,75,70.8,14,6,7,8,29.6,0,0,0,0,,
