Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Nikolas Nartey,dk DEN,"DF,MF",23-040,8,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,7.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches
Juan Perea,co COL,FW,23-039,15,3,398.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.8,9.0,8.0,28.0,0.23,0.0,0.23,0.23,0.23,0.04,0.15,0.19,0.04,0.19,Matches
Pascal Stenzel,de GER,DF,27-014,11,3,328.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,3.0,12.0,5.0,0.0,0.27,0.27,0.0,0.27,0.01,0.16,0.17,0.01,0.17,Matches
Sasa Kalajdzic,at AUT,FW,25-270,3,3,233.0,2.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,0.0,4.0,13.0,0.0,1.16,1.16,0.0,1.16,0.19,0.24,0.44,0.19,0.44,Matches
Lilian Egloff,de GER,"MF,FW",20-226,10,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.7,8.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.13,0.15,0.28,0.13,0.28,Matches
Thomas Kastanaras,gr GRE,"FW,DF",20-084,4,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.32,0.08,0.4,0.32,0.4,Matches
Tanguy Coulibaly,fr FRA,"FW,DF",22-044,8,0,227.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,9.0,10.0,24.0,0.4,0.0,0.4,0.4,0.4,0.14,0.14,0.28,0.14,0.28,Matches
Darko Churlinov,mk MKD,FW,22-266,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Clinton Mola,eng ENG,DF,22-019,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lauren Ulrich,de GER,MF,18-062,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alou Kuol,au AUS,FW,22-188,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonis Aidonis,de GER,DF,21-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolas Glaus,ch SUI,GK,20-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattis Hoppe,de GER,DF,19-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mateo Klimowicz,de GER,MF,22-271,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leon Reichardt,de GER,DF,18-279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.3,26,286,2340.0,26.0,29.0,24.0,53.0,26.0,3.0,3.0,54.0,4.0,33.3,30.9,27.4,58.3,482.0,937.0,923.0,1.12,0.92,2.04,1.0,1.92,1.28,1.05,2.33,1.19,2.24,
Opponent Total,,,27.3,26,286,2340.0,26.0,44.0,33.0,77.0,41.0,3.0,3.0,54.0,0.0,33.6,31.3,24.6,55.9,360.0,953.0,946.0,1.69,1.27,2.96,1.58,2.85,1.29,0.95,2.24,1.21,2.15,
