Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Kasper Schmeichel,dk DEN,GK,36-152,27,27,2430,27.0,24,0.89,100,75,77.0,11,11,5,9,33.3,3,1,1,1,50.0,Matches
Marcin Bułka,pl POL,GK,23-184,2,2,180,2.0,2,1.0,6,4,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.4,29,29,2610,29.0,26,0.9,106,79,76.4,11,12,6,9,31.0,3,1,1,1,50.0,
Opponent Total,,,27.1,29,29,2609,29.0,38,1.31,127,90,74.8,6,12,11,7,24.1,7,6,1,0,14.3,
