Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Kasper Schmeichel,dk DEN,GK,36-149,26.0,23,1,2,4,0,24.3,0.24,1.3,0.05,129,291,44.3,667,91,31.8,33.2,207,38.2,35.0,350,17,4.9,16,0.62,13.3,Matches
Marcin Bułka,pl POL,GK,23-181,2.0,2,0,0,0,0,3.1,0.52,1.1,0.56,8,20,40.0,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.5,13.8,Matches
Squad Total,,,27.4,28.0,25,1,2,4,0,27.4,0.26,2.4,0.09,137,311,44.1,716,102,31.0,32.8,225,39.6,35.7,376,19,5.1,19,0.68,13.4,
Opponent Total,,,27.1,28.0,37,6,0,6,0,37.6,0.26,0.6,0.02,98,236,41.5,715,153,22.7,29.8,171,43.3,37.9,356,21,5.9,27,0.96,15.2,
