Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
David de Gea,es ESP,GK,32-132,26.0,35,1,2,5,1,30.2,0.28,-3.8,-0.15,91,297,30.6,689,94,31.9,31.6,116,66.4,48.9,377,11,2.9,21,0.81,14.7,Matches
Squad Total,,,27.6,26.0,35,1,2,5,1,30.2,0.28,-3.8,-0.15,91,297,30.6,689,94,31.9,31.6,116,66.4,48.9,377,11,2.9,21,0.81,14.7,
Opponent Total,,,27.1,26.0,41,2,0,2,2,42.0,0.3,3.0,0.11,146,389,37.5,844,130,35.9,32.2,172,50.0,40.1,290,15,5.2,49,1.88,19.2,
