Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Kjell Scherpen,nl NED,GK,23-055,16.6,26,0,1,4,1,21.6,0.29,-3.4,-0.21,100,294,34.0,506,106,44.5,38.4,96,71.9,54.1,246,35,14.2,22,1.33,12.5,Matches
Daan Reiziger,nl NED,GK,21-274,6.4,11,1,1,0,0,8.4,0.31,-2.6,-0.41,34,134,25.4,145,16,60.7,45.9,60,76.7,59.4,114,2,1.8,2,0.31,10.1,Matches
Jeroen Houwen,nl NED,GK,27-029,2.0,8,0,0,0,0,5.9,0.42,-2.1,-1.07,3,20,15.0,65,18,27.7,29.7,9,22.2,31.9,20,0,0.0,5,2.5,18.2,Matches
Squad Total,,,23.9,25.0,45,1,2,4,1,35.8,0.31,-8.2,-0.33,137,448,30.6,716,140,46.2,39.2,165,70.9,54.8,380,37,9.7,29,1.16,12.5,
Opponent Total,,,25.9,25.0,29,1,1,4,0,28.3,0.24,-0.7,-0.03,113,338,33.4,665,144,34.7,34.8,220,48.6,40.9,398,22,5.5,23,0.92,14.2,
