Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
João Virgínia,pt POR,GK,23-160,17,17,1530,17.0,28,1.65,103,76,75.7,2,3,12,4,23.5,3,3,0,0,0.0,Matches
Robbin Ruiter,nl NED,GK,35-359,8,8,720,8.0,17,2.12,52,35,71.2,2,1,5,2,25.0,2,2,0,0,0.0,Matches
Squad Total,,,26.2,25,25,2250,25.0,45,1.8,155,111,74.2,4,4,17,6,24.0,5,5,0,0,0.0,
Opponent Total,,,25.6,25,25,2250,25.0,19,0.76,95,77,81.1,17,4,4,15,60.0,1,1,0,0,0.0,
