Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
João Virgínia,pt POR,GK,23-178,17.0,28,3,0,3,1,30.3,0.27,3.3,0.19,115,302,38.1,498,96,40.8,37.3,168,58.9,48.8,284,14,4.9,15,0.88,13.3,Matches
Robbin Ruiter,nl NED,GK,36-012,10.0,23,2,0,3,1,19.5,0.31,-2.5,-0.25,90,233,38.6,365,48,50.7,37.7,93,51.6,43.1,177,9,5.1,16,1.6,14.6,Matches
Squad Total,,,26.3,27.0,51,5,0,6,2,49.7,0.28,0.7,0.03,205,535,38.3,863,144,45.0,37.5,261,56.3,46.7,461,23,5.0,31,1.15,13.8,
Opponent Total,,,25.6,27.0,21,1,0,0,1,28.1,0.26,8.1,0.3,165,430,38.4,694,111,43.8,38.0,198,63.6,48.2,434,28,6.5,25,0.93,13.6,
