Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Kouadio Koné,fr FRA,MF,21-324,24.3,1487,49,345,928,247,16,1487,99,48,48.5,29,29.3,959,4948,2610,39,42,3,63,44,1053,41,Matches
Christoph Kramer,de GER,MF,32-046,22.7,1376,62,415,712,262,39,1376,45,20,44.4,22,48.9,706,2969,1386,24,26,6,25,26,944,59,Matches
Nico Elvedi,ch SUI,DF,26-188,23.5,1860,260,1045,778,45,20,1860,2,0,0.0,2,100.0,1138,5696,2965,15,15,1,7,3,1302,4,Matches
Marcus Thuram,fr FRA,FW,25-243,23.2,756,29,69,337,365,140,756,77,36,46.8,27,35.1,455,2937,1528,61,32,36,92,38,554,133,Matches
Jonas Hofmann,de GER,"FW,MF",30-266,22.6,1281,21,200,565,528,62,1280,25,9,36.0,14,56.0,713,3604,1669,53,37,16,34,26,863,151,Matches
Joe Scally,us USA,DF,20-096,21.9,1216,72,405,578,241,18,1216,26,10,38.5,12,46.2,615,2984,1404,27,22,1,19,13,708,53,Matches
Ramy Bensebaini,dz ALG,DF,27-355,21.8,1464,107,508,687,281,43,1463,27,11,40.7,14,51.9,695,3241,1431,33,17,9,28,15,799,74,Matches
Ko Itakura,jp JPN,DF,26-069,15.6,1283,151,657,590,43,12,1283,9,6,66.7,1,11.1,839,4269,2389,16,16,0,7,1,960,1,Matches
Alassane Pléa,fr FRA,FW,30-027,15.6,744,14,69,356,326,47,742,27,14,51.9,11,40.7,445,2212,1051,31,27,11,33,19,569,130,Matches
Lars Stindl,de GER,"FW,MF",34-223,15.1,713,18,97,408,210,32,713,17,7,41.2,7,41.2,389,1585,706,20,17,2,22,24,546,65,Matches
Julian Weigl,de GER,MF,27-210,14.0,877,34,255,569,58,9,877,9,6,66.7,1,11.1,472,1789,856,3,7,0,2,1,627,2,Matches
Marvin Friedrich,de GER,DF,27-114,10.7,836,90,508,306,29,18,836,1,1,100.0,0,0.0,488,2172,1089,3,2,0,3,2,594,4,Matches
Yann Sommer,ch SUI,GK,34-110,10.0,638,444,636,2,0,0,638,0,0,,0,,420,1803,981,0,0,0,0,0,405,0,Matches
Florian Neuhaus,de GER,MF,26-021,9.5,455,12,78,246,136,30,455,23,8,34.8,12,52.2,273,1129,670,15,13,3,15,9,327,29,Matches
Jonas Omlin,ch SUI,GK,29-086,8.3,503,388,501,2,0,0,503,0,0,,0,,298,1386,808,0,0,0,0,0,315,0,Matches
Tobias Sippel,de GER,GK,35-015,5.7,272,229,272,0,0,0,272,0,0,,0,,141,635,441,0,0,0,0,0,147,0,Matches
Luca Netz,de GER,DF,19-326,4.6,291,23,114,118,63,5,291,9,6,66.7,3,33.3,126,592,299,7,5,1,7,2,150,17,Matches
Stefan Lainer,at AUT,DF,30-222,3.8,305,11,85,172,49,8,305,5,2,40.0,2,40.0,164,797,387,11,4,2,6,3,198,9,Matches
Hannes Wolf,at AUT,FW,23-355,3.8,184,5,28,85,73,15,184,17,4,23.5,11,64.7,108,518,270,9,4,4,6,11,136,32,Matches
Nathan N'Goumou,fr FRA,FW,23-023,3.7,148,6,25,46,78,11,148,13,4,30.8,7,53.8,70,418,179,10,3,5,9,2,95,28,Matches
Jan Jakob Olschowsky,de GER,GK,21-139,2.0,100,81,100,0,0,0,100,0,0,,0,,46,299,160,0,0,0,0,0,48,0,Matches
Tony Jantschke,de GER,"DF,MF",32-364,1.0,76,10,49,26,1,0,76,0,0,,0,,42,147,43,0,0,0,0,0,52,0,Matches
Patrick Herrmann,de GER,"FW,MF",32-053,1.7,118,2,26,45,49,8,118,3,0,0.0,3,100.0,56,293,156,6,6,2,1,3,65,12,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",18-317,0.3,15,2,3,7,6,0,15,2,2,100.0,0,0.0,9,70,43,1,1,0,2,4,9,5,Matches
Semir Telalovic,de GER,"MF,FW",23-104,0.1,3,0,0,1,2,0,3,0,0,,0,,2,9,0,0,0,0,1,1,3,0,Matches
Rocco Reitz,de GER,MF,20-312,0.0,2,0,0,2,0,0,2,0,0,,0,,2,10,2,0,0,0,0,0,2,0,Matches
Oscar Fraulo,dk DEN,MF,19-121,0.0,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.5,26.0,17005,2120,6490,7566,3094,533,17001,436,194,44.5,178,40.8,9671,46512,23523,384,296,102,382,247,11471,849,
Opponent Total,,,27.2,26.0,14960,1469,4838,6615,3636,624,14956,432,181,41.9,204,47.2,8520,43369,22149,438,269,135,333,179,9381,999,
