Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Yann Sommer,ch SUI,GK,34-107,10,10,900,10.0,14,1.4,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0,Matches
Jonas Omlin,ch SUI,GK,29-083,8,8,660,7.3,14,1.91,33,19,60.6,2,2,4,1,12.5,1,1,0,0,0.0,Matches
Tobias Sippel,de GER,GK,35-012,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0,Matches
Jan Jakob Olschowsky,de GER,GK,21-136,2,2,180,2.0,4,2.0,14,10,71.4,1,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.5,25,25,2250,25.0,44,1.76,140,97,71.4,8,7,10,5,20.0,4,4,0,0,0.0,
Opponent Total,,,27.2,25,25,2250,25.0,40,1.6,125,83,69.6,10,7,8,7,28.0,4,2,2,0,50.0,
