Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
James Tarkowski,eng ENG,DF,30-119,27.0,16,0.59,13,0,0,2,0,1,1,0.04,1,0,0,0,0,0,Matches
Alex Iwobi,ng NGA,"MF,FW",26-319,26.5,72,2.71,57,7,2,3,2,1,7,0.26,6,0,0,0,1,0,Matches
Jordan Pickford,eng ENG,GK,29-011,26.0,8,0.31,4,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-293,23.8,38,1.6,34,1,0,2,1,0,2,0.08,1,0,0,1,0,0,Matches
Amadou Onana,be BEL,MF,21-214,21.9,31,1.41,24,0,1,1,4,1,1,0.05,1,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,30-021,21.9,17,0.78,15,0,0,1,1,0,1,0.05,1,0,0,0,0,0,Matches
Demarai Gray,eng ENG,"FW,MF",26-263,21.5,73,3.4,34,20,3,11,5,0,4,0.19,2,2,0,0,0,0,Matches
Idrissa Gana Gueye,sn SEN,MF,33-173,19.1,32,1.68,21,0,1,1,5,4,3,0.16,2,0,0,0,0,1,Matches
Dwight McNeil,eng ENG,"FW,MF",23-116,16.8,61,3.64,35,19,4,0,2,1,6,0.36,2,2,0,0,1,1,Matches
Séamus Coleman,ie IRL,DF,34-158,15.2,14,0.92,11,0,1,1,1,0,1,0.07,1,0,0,0,0,0,Matches
Anthony Gordon,eng ENG,FW,22-022,12.2,23,1.89,13,0,1,6,1,2,0,0.0,0,0,0,0,0,0,Matches
Nathan Patterson,sct SCO,"DF,MF",21-153,11.0,17,1.55,13,1,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Neal Maupay,fr FRA,FW,26-216,10.5,13,1.24,8,0,1,1,3,0,0,0.0,0,0,0,0,0,0,Matches
Abdoulaye Doucouré,ml MLI,MF,30-076,9.4,24,2.56,20,0,3,1,0,0,1,0.11,1,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,26-002,8.1,13,1.6,10,0,3,0,0,0,2,0.25,1,0,1,0,0,0,Matches
Ben Godfrey,eng ENG,DF,25-062,4.7,2,0.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tom Davies,eng ENG,MF,24-261,5.3,5,0.94,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mason Holgate,eng ENG,"DF,MF",26-147,4.1,6,1.48,5,0,0,1,0,0,2,0.49,2,0,0,0,0,0,Matches
Michael Keane,eng ENG,DF,30-066,3.3,3,0.92,2,0,0,1,0,0,1,0.31,1,0,0,0,0,0,Matches
Yerry Mina,co COL,DF,28-176,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Salomón Rondón,ve VEN,FW,33-183,1.2,4,3.3,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ellis Simms,eng ENG,FW,22-072,1.1,2,1.76,2,0,0,0,0,0,1,0.88,1,0,0,0,0,0,Matches
Asmir Begović,ba BIH,GK,35-271,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Garner,eng ENG,MF,22-005,1.6,1,0.63,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Dele Alli,eng ENG,MF,26-341,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Isaac Price,nir NIR,MF,19-173,0.4,2,5.45,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-343,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Thomas Cannon,ie IRL,FW,20-080,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,27.0,478,17.7,333,52,21,34,27,11,34,1.26,24,4,1,1,2,2,
Opponent Total,,,27.2,27.0,716,26.52,528,70,28,46,29,15,66,2.44,47,1,4,8,5,1,
