Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
13,Wolves,27,7,6,14,20,37,-17,27,1.0,26.2,38.9,-12.7,-0.47,L D L W L,31584,"Rúben Neves, Daniel Podence - 5",José Sá,
14,Nott'ham Forest,27,6,8,13,22,49,-27,26,0.96,28.2,44.0,-15.8,-0.59,D L D L L,29164,Brennan Johnson - 7,Dean Henderson,
15,Everton,27,6,7,14,20,38,-18,25,0.93,29.4,44.6,-15.2,-0.56,W L L D W,39233,Demarai Gray - 4,Jordan Pickford,
16,Leicester City,26,7,3,16,37,46,-9,24,0.92,32.9,43.1,-10.1,-0.39,W L L L L,31772,James Maddison - 9,Danny Ward,
17,West Ham,26,6,6,14,24,34,-10,24,0.92,33.5,31.4,2.1,0.08,D L W L D,62454,"Jarrod Bowen, Saïd Benrahma - 4",Łukasz Fabiański,
