Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Ivan Provedel,it ITA,GK,29-017,27,26,2423,26.9,19.0,0.71,90.0,71.0,80.0,14,7.0,5.0,16.0,61.5,1.0,1.0,0.0,0.0,0.0,Matches
Luís Maximiano,pt POR,GK,24-088,1,1,5,0.1,,,,,,1,,,,,,,,,,Matches
Squad Total,,,29.3,27,27,2428,27.0,19.0,0.7,90.0,71.0,80.0,15,7.0,5.0,16.0,59.3,1.0,1.0,0.0,0.0,0.0,
Opponent Total,,,27.2,27,27,2430,27.0,42.0,1.56,110.0,68.0,65.5,5,7.0,15.0,5.0,18.5,6.0,4.0,1.0,1.0,20.0,
