Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jonathan David,ca CAN,FW,23-079,25.4,19,76,36,47.4,3.0,1.42,0.17,0.36,15.6,0.0,6,7,18.1,12.6,0.17,0.9,0.4,Matches
Angel Gomes,eng ENG,MF,22-215,23.5,2,35,10,28.6,1.49,0.43,0.03,0.1,23.9,2.0,1,1,3.2,2.4,0.07,-1.2,-1.4,Matches
Benjamin André,fr FRA,MF,32-243,24.5,1,16,3,18.8,0.65,0.12,0.06,0.33,15.8,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Tiago Djaló,pt POR,DF,22-359,22.4,2,15,4,26.7,0.67,0.18,0.13,0.5,12.7,0.0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
Lucas Chevalier,fr FRA,GK,21-148,22.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jonathan Bamba,fr FRA,FW,27-008,22.0,5,52,19,36.5,2.37,0.87,0.1,0.26,16.0,0.0,0,0,5.8,5.8,0.12,-0.8,-0.8,Matches
Bafodé Diakité,fr FRA,DF,22-087,21.8,2,13,5,38.5,0.6,0.23,0.15,0.4,11.2,0.0,0,0,1.1,1.1,0.09,0.9,0.9,Matches
José Fonte,pt POR,DF,39-102,20.8,1,11,2,18.2,0.53,0.1,0.09,0.5,13.3,0.0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
Rémy Cabella,fr FRA,"MF,FW",33-026,19.1,4,31,18,58.1,1.62,0.94,0.13,0.22,15.0,6.0,0,0,4.6,4.6,0.15,-0.6,-0.6,Matches
Ismaily,br BRA,DF,33-082,16.1,2,12,5,41.7,0.75,0.31,0.17,0.4,17.8,0.0,0,0,1.1,1.1,0.09,0.9,0.9,Matches
André Gomes,pt POR,MF,29-247,13.5,1,12,3,25.0,0.89,0.22,0.08,0.33,22.6,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Timothy Weah,us USA,"DF,FW",23-040,13.1,0,22,9,40.9,1.68,0.69,0.0,0.0,20.8,0.0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Adam Ounas,dz ALG,FW,26-143,9.7,1,23,9,39.1,2.38,0.93,0.04,0.11,19.0,3.0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Edon Zhegrova,xk KVX,"FW,DF",24-003,8.2,1,31,9,29.0,3.76,1.09,0.03,0.11,18.6,0.0,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
Alexsandro Ribeiro,br BRA,DF,23-237,8.9,3,9,4,44.4,1.01,0.45,0.33,0.75,9.3,0.0,0,0,0.9,0.9,0.1,2.1,2.1,Matches
Leny Yoro,fr FRA,DF,17-141,6.5,0,2,0,0.0,0.31,0.0,0.0,,15.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Leonardo César Jardim,br BRA,GK,28-014,6.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",24-303,5.4,4,21,9,42.9,3.87,1.66,0.19,0.44,10.2,0.0,0,0,3.2,3.2,0.15,0.8,0.8,Matches
Gabriel Gudmundsson,se SWE,"DF,FW",23-339,4.8,0,4,1,25.0,0.83,0.21,0.0,0.0,18.9,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Akim Zedadka,dz ALG,"DF,MF",27-308,3.9,1,3,1,33.3,0.76,0.25,0.33,1.0,15.3,0.0,0,0,0.4,0.4,0.13,0.6,0.6,Matches
Carlos Baleba,cm CMR,MF,19-090,3.2,0,7,2,28.6,2.19,0.62,0.0,0.0,25.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Yusuf Yazıcı,tr TUR,MF,26-064,2.2,1,5,2,40.0,2.25,0.9,0.2,0.5,19.0,0.0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
Alan Virginius,fr FRA,FW,20-090,2.6,1,12,5,41.7,4.7,1.96,0.08,0.2,14.4,0.0,0,0,3.1,3.1,0.26,-2.1,-2.1,Matches
Jonas Martin,fr FRA,MF,32-359,2.1,0,1,0,0.0,0.47,0.0,0.0,,7.6,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Simon Ramet,fr FRA,DF,20-021,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.7,28.0,51,413,156,37.8,14.75,5.57,0.11,0.28,16.7,11.0,7,8,51.5,45.2,0.11,-0.5,-1.2,
Opponent Total,,,27.0,28.0,33,256,93,36.3,9.14,3.32,0.12,0.32,17.0,7.0,3,4,32.2,29.1,0.12,0.8,0.9,
