Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Fredrik André Bjørkan,no NOR,DF,24-210,1,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.26,0.05,0.26,Matches
Ezequiel Bullaude,ar ARG,"MF,DF",22-144,8,0,132.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,2.0,6.0,13.0,0.0,0.68,0.68,0.0,0.68,0.4,0.21,0.61,0.4,0.61,Matches
Mohamed Taabouni,nl NED,MF,20-355,4,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.17,0.52,0.69,0.17,0.69,Matches
Jens Toornstra,nl NED,"MF,DF",33-349,3,0,77.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,2.0,7.0,1.0,0.0,1.17,1.17,0.0,1.17,0.38,0.49,0.87,0.38,0.87,Matches
Mimeirhel Benita,nl NED,DF,19-122,2,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neraysho Kasanwirjo,nl NED,DF,21-029,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Noah Naujoks,nl NED,"FW,MF",20-321,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cole Bassett,us USA,FW,21-234,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,2.19,2.19,2.19,Matches
Jorrit Hendrix,nl NED,"DF,MF",28-041,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Thijs Jansen,nl NED,GK,21-110,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ofir Marciano,il ISR,GK,33-163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antoni Milambo,nl NED,MF,14-350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Devin Remie,nl NED,GK,20-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tein Troost,nl NED,GK,21-063,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.2,25,275,2250.0,25.0,54.0,41.0,95.0,51.0,3.0,3.0,35.0,0.0,47.7,45.4,36.6,82.0,693.0,1447.0,1430.0,2.16,1.64,3.8,2.04,3.68,1.91,1.47,3.37,1.81,3.28,
Opponent Total,,,25.7,25,275,2250.0,25.0,21.0,18.0,39.0,21.0,0.0,0.0,44.0,5.0,21.7,21.7,17.3,39.0,257.0,673.0,663.0,0.84,0.72,1.56,0.84,1.56,0.87,0.69,1.56,0.87,1.56,
