Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Justin Bijlow,nl NED,GK,25-074,19,19,1710,19.0,16,0.84,61,46,73.8,12,6,1,9,47.4,0,0,0,0,,Matches
Timon Wellenreuther,de GER,GK,27-124,8,8,720,8.0,10,1.25,25,15,60.0,7,1,0,1,12.5,1,0,1,0,100.0,Matches
Squad Total,,,24.3,27,27,2430,27.0,26,0.96,86,61,69.8,19,7,1,10,37.0,1,0,1,0,100.0,
Opponent Total,,,25.8,27,27,2430,27.0,62,2.3,196,136,69.9,1,7,19,1,3.7,3,3,0,0,0.0,
