name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Yehvann Diouf,€1.00m,Goalkeeper,"Nov 16, 1999 (23)",France,"1,84m",right,"Jul 1, 2019","Jun 30, 2027"
Alexandre Olliero,€700k,Goalkeeper,"Feb 15, 1996 (27)",France,"1,93m",right,"Jan 31, 2023","Jun 30, 2026"
Nicolas Penneteau,€150k,Goalkeeper,"Feb 28, 1981 (42)",France,"1,85m",left,"Jul 1, 2021","Jun 30, 2023"
Florent Duparchy,€100k,Goalkeeper,"Jun 20, 2000 (22)",France,"1,87m",right,-,"Jun 30, 2024"
Emmanuel Agbadou,€3.00m,Centre-Back,"Jun 17, 1997 (25)",Cote d'Ivoire,"1,92m",right,"Jul 1, 2022","Jun 30, 2027"
Yunis Abdelhamid,€800k,Centre-Back,"Sep 28, 1987 (35)",Morocco,"1,90m",left,"Jul 1, 2017","Jun 30, 2024"
Thibault De Smet,€400k,Left-Back,"Jun 5, 1998 (24)",Belgium,"1,83m",left,"Jul 1, 2020","Jun 30, 2024"
Thomas Foket,€4.50m,Right-Back,"Sep 25, 1994 (28)",Belgium,"1,77m",right,"Aug 31, 2018","Jun 30, 2025"
Maxime Busi,€3.00m,Right-Back,"Oct 14, 1999 (23)",Belgium,"1,82m",right,"Jul 1, 2022","Jun 30, 2026"
Azor Matusiwa,€6.00m,Defensive Midfield,"Apr 28, 1998 (24)",Netherlands,"1,73m",right,"Aug 31, 2021","Jun 30, 2026"
Marshall Munetsi,€5.00m,Defensive Midfield,"Jun 22, 1996 (26)",Zimbabwe,"1,88m",right,"Jul 1, 2019","Jun 30, 2026"
Jens Cajuste,€4.50m,Defensive Midfield,"Aug 10, 1999 (23)",Sweden,"1,88m",right,"Jan 10, 2022","Jun 30, 2026"
Dion Lopy,€3.00m,Defensive Midfield,"Feb 2, 2002 (21)",Senegal,"1,86m",right,"Jul 1, 2021","Jun 30, 2024"
Kamory Doumbia,€2.50m,Attacking Midfield,"Feb 18, 2003 (20)",Mali,"1,70m",right,"Jul 1, 2022","Jun 30, 2025"
Arbër Zeneli,€4.00m,Left Winger,"Feb 25, 1995 (28)",Kosovo,"1,76m",right,"Jan 26, 2019","Jun 30, 2025"
Myziane Maolida,€1.75m,Left Winger,"Feb 14, 1999 (24)",France,"1,82m",right,"Jan 31, 2023","Jun 30, 2023"
Mitchell van Bergen,€1.50m,Left Winger,"Aug 27, 1999 (23)",Netherlands,"1,70m",right,"Aug 27, 2021","Jun 30, 2025"
Junya Ito,€9.00m,Right Winger,"Mar 9, 1993 (30)",Japan,"1,76m",right,"Jul 29, 2022","Jun 30, 2026"
Alexis Flips,€3.00m,Right Winger,"Jan 18, 2000 (23)",France,"1,73m",right,"Jul 1, 2021","Jun 30, 2024"
Folarin Balogun,€14.00m,Centre-Forward,"Jul 3, 2001 (21)",England,"1,78m",right,"Aug 3, 2022","Jun 30, 2023"
Kaj Sierhuis,€1.50m,Centre-Forward,"Apr 27, 1998 (24)",Netherlands,"1,80m",right,"Jan 31, 2020","Jun 30, 2024"
Noah Jean Holm,€800k,Centre-Forward,"May 23, 2001 (21)",Norway,-,,"Sep 1, 2022","Jun 30, 2023"
Alexander Nübel,€10.00m,Goalkeeper,"Sep 30, 1996 (26)",Germany,"1,93m",right,"Jul 1, 2021","Jun 30, 2023"
Thomas Didillon,€1.20m,Goalkeeper,"Nov 28, 1995 (27)",France,"1,93m",left,"Jul 20, 2022","Jun 30, 2023"
Yann Lienard,€200k,Goalkeeper,"Mar 16, 2003 (20)",France,"1,94m",right,-,"Jun 30, 2024"
Axel Disasi,€25.00m,Centre-Back,"Mar 11, 1998 (25)",France,"1,90m",right,"Aug 7, 2020","Jun 30, 2025"
Guillermo Maripán,€13.00m,Centre-Back,"May 6, 1994 (28)",Chile,"1,90m",right,"Aug 24, 2019","Jun 30, 2025"
Malang Sarr,€8.00m,Centre-Back,"Jan 23, 1999 (24)",France,"1,83m",left,"Aug 10, 2022","Jun 30, 2023"
Chrislain Matsima,€4.00m,Centre-Back,"May 15, 2002 (20)",France,"1,93m",right,"Jul 1, 2020","Jun 30, 2025"
Yllan Okou,€300k,Centre-Back,"Dec 23, 2002 (20)",France,"1,89m",left,-,"Jun 30, 2025"
Caio Henrique,€20.00m,Left-Back,"Jul 31, 1997 (25)",Brazil,"1,78m",left,"Aug 27, 2020","Jun 30, 2027"
Ismail Jakobs,€7.00m,Left-Back,"Aug 17, 1999 (23)",Senegal,"1,84m",left,"Jul 12, 2021","Jun 30, 2026"
Vanderson,€18.00m,Right-Back,"Jun 21, 2001 (21)",Brazil,"1,73m",right,"Jan 1, 2022","Jun 30, 2027"
Ruben Aguilar,€10.00m,Right-Back,"Apr 26, 1993 (29)",France,"1,70m",right,"Aug 6, 2019","Jun 30, 2025"
Mohamed Camara,€25.00m,Defensive Midfield,"Jan 6, 2000 (23)",Mali,"1,73m",right,"Aug 14, 2022","Jun 30, 2027"
Soungoutou Magassa,€500k,Defensive Midfield,"Oct 8, 2003 (19)",France,"1,88m",right,"Jul 1, 2022","Jun 30, 2024"
Youssouf Fofana,€25.00m,Central Midfield,"Jan 10, 1999 (24)",France,"1,85m",right,"Jan 29, 2020","Jun 30, 2024"
Jean Lucas,€7.00m,Central Midfield,"Jun 22, 1998 (24)",Brazil,"1,79m",right,"Aug 2, 2021","Jun 30, 2026"
Eliot Matazo,€7.00m,Central Midfield,"Feb 15, 2002 (21)",Belgium,"1,70m",right,"Jul 1, 2020","Jun 30, 2026"
Aleksandr Golovin,€22.00m,Attacking Midfield,"May 30, 1996 (26)",Russia,"1,78m",right,"Jul 27, 2018","Jun 30, 2026"
Maghnes Akliouche,€4.00m,Attacking Midfield,"Feb 25, 2002 (21)",France,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Eliesse Ben Seghir,€200k,Attacking Midfield,"Feb 16, 2005 (18)",France,-,right,"Jan 1, 2023","Jun 30, 2025"
Takumi Minamino,€10.00m,Left Winger,"Jan 16, 1995 (28)",Japan,"1,72m",right,"Jul 1, 2022","Jun 30, 2026"
Krépin Diatta,€13.00m,Right Winger,"Feb 25, 1999 (24)",Senegal,"1,75m",right,"Jan 21, 2021","Jun 30, 2025"
Gelson Martins,€10.00m,Right Winger,"May 11, 1995 (27)",Portugal,"1,70m",right,"Jul 1, 2019","Jun 30, 2024"
Wissam Ben Yedder,€20.00m,Centre-Forward,"Aug 12, 1990 (32)",France,"1,70m",both,"Aug 14, 2019","Jun 30, 2024"
Breel Embolo,€20.00m,Centre-Forward,"Feb 14, 1997 (26)",Switzerland,"1,87m",right,"Jul 15, 2022","Jun 30, 2026"
Kevin Volland,€16.00m,Centre-Forward,"Jul 30, 1992 (30)",Germany,"1,79m",left,"Sep 2, 2020","Jun 30, 2024"
Myron Boadu,€10.00m,Centre-Forward,"Jan 14, 2001 (22)",Netherlands,"1,81m",right,"Aug 4, 2021","Jun 30, 2026"
Gauthier Gallon,€2.00m,Goalkeeper,"Apr 23, 1993 (29)",France,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Mateusz Lis,€1.00m,Goalkeeper,"Feb 27, 1997 (26)",Poland,"1,92m",right,"Sep 1, 2022","Jun 30, 2023"
Jessy Moulin,€250k,Goalkeeper,"Jan 13, 1986 (37)",France,"1,84m",right,"Jul 19, 2021","Jun 30, 2023"
Jackson Porozo,€3.00m,Centre-Back,"Aug 4, 2000 (22)",Ecuador,"1,92m",right,"Jul 1, 2022","Jun 30, 2027"
Erik Palmer-Brown,€3.00m,Centre-Back,"Apr 24, 1997 (25)",United States,"1,86m",right,"Feb 2, 2022","Jun 30, 2024"
Yoann Salmier,€2.00m,Centre-Back,"Nov 21, 1992 (30)",French Guiana,"1,88m",right,"Jul 1, 2019","Jun 30, 2024"
Tanguy Zoukrou,€300k,Centre-Back,"May 7, 2003 (19)",France,"1,89m",right,"Jul 1, 2022","Jun 30, 2024"
Adil Rami,€300k,Centre-Back,"Dec 27, 1985 (37)",France,"1,91m",right,"Aug 24, 2021","Jun 30, 2023"
Eric N'Jo,€300k,Centre-Back,"Jun 1, 2004 (18)",France,"1,87m",,"Jul 1, 2022","Jun 30, 2025"
Yasser Larouci,€3.00m,Left-Back,"Jan 1, 2001 (22)",France,"1,76m",left,"Jul 28, 2021","Jun 30, 2026"
Abdu Conté,€2.50m,Left-Back,"Mar 24, 1998 (24)",Portugal,"1,83m",,"Jan 12, 2022","Jun 30, 2026"
Thierno Baldé,€4.00m,Right-Back,"Jun 10, 2002 (20)",France,"1,82m",right,"Aug 9, 2022","Jun 30, 2027"
Andreas Bruus,€2.00m,Right-Back,"Jan 16, 1999 (24)",Denmark,"1,83m",right,"Jul 18, 2022","Jun 30, 2027"
Lucien Agoumé,€7.00m,Defensive Midfield,"Feb 9, 2002 (21)",France,"1,85m",right,"Sep 1, 2022","Jun 30, 2023"
Rominigue Kouamé,€5.00m,Central Midfield,"Dec 17, 1996 (26)",Mali,"1,77m",left,"Jul 1, 2021","Jun 30, 2024"
Florian Tardieu,€3.00m,Central Midfield,"Apr 22, 1992 (30)",France,"1,84m",right,"Jul 24, 2019","Jun 30, 2024"
Xavier Chavalerin,€1.80m,Central Midfield,"Mar 7, 1991 (32)",France,"1,79m",left,"Aug 29, 2021","Jun 30, 2024"
Ante Palaversa,€1.20m,Central Midfield,"Apr 6, 2000 (22)",Croatia,"1,87m",right,"Aug 31, 2022","Jun 30, 2025"
Jeff Reine-Adélaïde,€10.00m,Attacking Midfield,"Jan 17, 1998 (25)",France,"1,84m",right,"Jan 30, 2023","Jun 30, 2023"
Papa Ndiaga Yade,€1.80m,Left Winger,"Jan 5, 2000 (23)",Senegal,"1,85m",left,"Aug 25, 2022","Jun 30, 2023"
Alexis Tibidi,€1.50m,Left Winger,"Nov 3, 2003 (19)",France,"1,87m",right,"Jan 28, 2023","Jun 30, 2027"
Levi Lumeka,€250k,Left Winger,"Sep 5, 1998 (24)",England,"1,70m",right,"Jul 28, 2020","Jun 30, 2024"
Wilson Odobert,€5.00m,Right Winger,"Nov 28, 2004 (18)",France,"1,82m",,"Jul 15, 2022","Jun 30, 2027"
Rony Lopes,€4.00m,Right Winger,"Dec 28, 1995 (27)",Portugal,"1,74m",left,"Aug 24, 2022","Jun 30, 2023"
Renaud Ripart,€3.00m,Right Winger,"Mar 14, 1993 (30)",France,"1,81m",right,"Jul 15, 2021","Jun 30, 2025"
Mama Baldé,€6.00m,Centre-Forward,"Nov 6, 1995 (27)",Guinea-Bissau,"1,76m",right,"Jul 31, 2021","Jun 30, 2025"
Iké Ugbo,€4.00m,Centre-Forward,"Sep 21, 1998 (24)",Canada,"1,84m",right,"Aug 4, 2022","Jun 30, 2026"
Lucas Chevalier,€5.00m,Goalkeeper,"Nov 6, 2001 (21)",France,"1,89m",right,"Jul 1, 2020","Jun 30, 2027"
Benoît Costil,€1.50m,Goalkeeper,"Jul 3, 1987 (35)",France,"1,88m",right,"Jan 26, 2023","Jun 30, 2023"
Adam Jakubech,€400k,Goalkeeper,"Jan 2, 1997 (26)",Slovakia,"1,88m",right,"Jul 26, 2017","Jun 30, 2025"
Tiago Djaló,€12.00m,Centre-Back,"Apr 9, 2000 (22)",Portugal,"1,90m",right,"Aug 1, 2019","Jun 30, 2024"
Alexsandro,€2.50m,Centre-Back,"Aug 9, 1999 (23)",Brazil,"1,89m",right,"Jul 1, 2022","Jun 30, 2026"
Leny Yoro,€2.50m,Centre-Back,"Nov 13, 2005 (17)",France,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
José Fonte,€700k,Centre-Back,"Dec 22, 1983 (39)",Portugal,"1,87m",right,"Jul 15, 2018","Jun 30, 2023"
Gabriel Gudmundsson,€5.00m,Left-Back,"Apr 29, 1999 (23)",Sweden,"1,80m",left,"Aug 31, 2021","Jun 30, 2026"
Ismaily,€3.00m,Left-Back,"Jan 11, 1990 (33)",Brazil,"1,77m",left,"Aug 4, 2022","Jun 30, 2023"
Bafodé Diakité,€4.50m,Right-Back,"Jan 6, 2001 (22)",France,"1,85m",right,"Aug 5, 2022","Jun 30, 2026"
Benjamin André,€10.00m,Defensive Midfield,"Aug 3, 1990 (32)",France,"1,80m",right,"Jul 17, 2019","Jun 30, 2026"
Jonas Martin,€1.80m,Defensive Midfield,"Apr 9, 1990 (32)",France,"1,84m",right,"Jul 1, 2022","Jun 30, 2024"
André Gomes,€14.00m,Central Midfield,"Jul 30, 1993 (29)",Portugal,"1,88m",right,"Sep 1, 2022","Jun 30, 2023"
