Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Birama Touré,2413.0,27,27,53.0,28.0,23.0,25.0,5.0,4.0,53.0,35.0,0.0,23.0,19.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,16.0,0.0,0.0,1.0,0.0,169.0,45.0,42.0,337.0,393.0,384.0,438.0,156.0,222.0,0.0,0.7,3.0,82.0,9.0,0.0,105.0,66.0,383.0,858.0,165.0,13.0,14.0,5.0,6.0,953.0,4605.0,1657.0,9.0,17.0,1.0,26.0,10.0,0.0,17.0,3.0,0.0,24.1,0.0,0.0,1.0,1.6
Jubal,2227.0,26,24,26.0,15.0,17.0,8.0,1.0,24.0,40.0,129.0,0.0,11.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,28.0,20.0,3.0,1.0,0.0,0.0,115.0,49.0,32.0,201.0,241.0,421.0,455.0,155.0,237.0,1.0,0.2,3.0,54.0,3.0,2.0,56.0,212.0,696.0,516.0,35.0,20.0,4.0,1.0,2.0,805.0,4323.0,2042.0,5.0,9.0,0.0,16.0,2.0,2.0,12.0,2.0,0.17,9.1,0.0,0.0,0.0,1.5
Benoît Costil,1710.0,19,19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,54.0,54.0,173.0,179.0,186.0,357.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,531.0,635.0,3.0,0.0,0.0,1.0,1.0,0.0,377.0,1899.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Gideon Mensah,1607.0,18,18,61.0,33.0,33.0,24.0,4.0,7.0,31.0,31.0,0.0,32.0,27.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,11.0,1.0,0.0,1.0,0.0,170.0,19.0,16.0,398.0,453.0,316.0,387.0,67.0,141.0,0.0,1.5,17.0,70.0,14.0,7.0,73.0,66.0,401.0,589.0,263.0,6.0,42.0,18.0,19.0,794.0,5183.0,2331.0,41.0,44.0,1.0,30.0,7.0,0.0,2.0,1.0,0.0,27.6,0.0,0.0,0.0,0.0
Hamza Sakhi,1589.0,23,18,43.0,22.0,21.0,17.0,5.0,1.0,24.0,8.0,0.0,64.0,50.0,8.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,19.0,5.0,0.0,0.0,0.0,100.0,6.0,3.0,261.0,293.0,284.0,338.0,136.0,205.0,2.0,2.9,34.0,94.0,21.0,7.0,130.0,18.0,158.0,588.0,321.0,27.0,26.0,14.0,6.0,790.0,4718.0,1963.0,41.0,34.0,3.0,20.0,13.0,1.0,28.0,8.0,0.04,23.7,2.0,0.0,0.0,1.7
Rayan Raveloson,1461.0,23,16,23.0,12.0,15.0,7.0,1.0,5.0,28.0,43.0,0.0,21.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,1.0,0.0,0.0,1.0,99.0,15.0,14.0,201.0,229.0,242.0,286.0,60.0,92.0,0.0,0.6,5.0,41.0,6.0,4.0,59.0,70.0,273.0,406.0,153.0,25.0,18.0,6.0,7.0,536.0,3222.0,1602.0,22.0,19.0,5.0,28.0,10.0,1.0,16.0,3.0,0.06,18.2,2.0,0.0,0.0,1.7
Mathias Autret,1259.0,20,16,22.0,10.0,10.0,10.0,2.0,2.0,12.0,12.0,0.0,52.0,33.0,12.0,3.0,3.0,0.0,1.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,71.0,5.0,13.0,167.0,198.0,173.0,215.0,89.0,136.0,2.0,2.0,27.0,58.0,15.0,4.0,72.0,22.0,120.0,358.0,231.0,21.0,24.0,9.0,14.0,500.0,2717.0,911.0,19.0,12.0,3.0,18.0,4.0,2.0,22.0,11.0,0.05,26.0,1.0,1.0,1.0,2.3
Julian Jeanvier,1243.0,15,15,25.0,11.0,20.0,5.0,0.0,12.0,17.0,61.0,1.0,7.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,65.0,16.0,18.0,166.0,188.0,261.0,283.0,66.0,103.0,0.0,0.0,0.0,13.0,0.0,0.0,21.0,122.0,419.0,291.0,21.0,12.0,2.0,1.0,1.0,526.0,2831.0,1490.0,4.0,3.0,0.0,5.0,1.0,1.0,8.0,4.0,0.13,8.7,0.0,0.0,0.0,1.2
Nuno da Costa,1298.0,22,14,33.0,17.0,9.0,17.0,7.0,0.0,12.0,8.0,0.0,34.0,21.0,0.0,6.0,4.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,25.0,46.0,3.0,0.0,0.0,0.0,50.0,29.0,38.0,75.0,114.0,55.0,72.0,21.0,28.0,2.0,1.5,15.0,14.0,6.0,2.0,22.0,13.0,59.0,221.0,216.0,56.0,69.0,28.0,30.0,327.0,2159.0,678.0,16.0,7.0,8.0,61.0,29.0,3.0,29.0,10.0,0.1,16.0,0.0,0.0,0.0,3.0
Lassine Sinayoko,1268.0,25,14,30.0,14.0,13.0,10.0,7.0,0.0,11.0,17.0,0.0,42.0,30.0,0.0,3.0,5.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,21.0,19.0,4.0,1.0,0.0,0.0,99.0,16.0,27.0,191.0,242.0,108.0,141.0,19.0,35.0,2.0,1.1,14.0,26.0,22.0,6.0,59.0,26.0,108.0,271.0,290.0,59.0,52.0,22.0,23.0,482.0,3375.0,1534.0,42.0,31.0,16.0,37.0,26.0,0.0,30.0,7.0,0.0,17.2,0.0,0.0,0.0,2.4
