Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Jhonatan,br BRA,GK,31-333,26,26,2340,26.0,29,1.12,120,91,75.8,9,6,11,9,34.6,3,0,2,1,100.0,Matches
Squad Total,,,27.5,26,26,2340,26.0,29,1.12,120,91,75.8,9,6,11,9,34.6,3,0,2,1,100.0,
Opponent Total,,,26.7,26,26,2340,26.0,25,0.96,84,58,73.8,11,6,9,10,38.5,5,3,2,0,40.0,
