Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Alexander Nübel,de GER,GK,26-185,28.0,2,0,0,0,1,0,0,1,0,0,0,0,33,5,1,83.3,Matches
Axel Disasi,fr FRA,DF,25-023,27.0,2,0,0,22,9,0,12,45,17,0,0,0,175,71,29,71.0,Matches
Youssouf Fofana,fr FRA,MF,24-083,25.4,2,1,0,39,28,2,6,33,31,0,0,1,190,23,17,57.5,Matches
Caio Henrique Oliveira Silva,br BRA,DF,25-246,23.5,3,0,0,13,16,1,116,15,39,0,0,1,163,9,17,34.6,Matches
Aleksandr Golovin,ru RUS,"MF,FW",26-308,20.9,4,0,0,25,17,6,82,28,27,0,0,0,120,14,22,38.9,Matches
Wissam Ben Yedder,fr FRA,FW,32-234,16.3,2,0,0,11,11,16,14,4,6,1,0,0,41,11,20,35.5,Matches
Breel Embolo,ch SUI,FW,26-048,19.5,2,0,0,44,52,11,1,5,9,2,1,0,56,31,46,40.3,Matches
Krépin Diatta,sn SEN,"MF,FW",24-037,18.4,3,0,0,18,22,7,46,13,16,2,0,0,78,30,31,49.2,Matches
Guillermo Maripán,cl CHI,DF,28-332,17.5,3,1,1,19,4,0,0,29,20,0,2,0,97,39,28,58.2,Matches
Mohamed Camara,ml MLI,MF,23-087,17.4,4,1,0,37,45,0,3,21,37,0,0,0,136,11,4,73.3,Matches
Vanderson,br BRA,"DF,MF",21-286,15.9,2,1,1,23,13,1,64,34,30,0,0,0,103,17,16,51.5,Matches
Ruben Aguilar,fr FRA,DF,29-342,9.6,2,0,0,12,13,1,25,14,6,0,0,0,56,10,13,43.5,Matches
Benoît Badiashile,fr FRA,DF,22-008,9.3,3,0,0,10,4,0,0,17,8,0,0,0,67,21,7,75.0,Matches
Eliot Matazo,be BEL,MF,21-047,9.0,2,0,0,7,8,0,0,10,5,0,1,0,51,5,15,25.0,Matches
Eliesse Ben Seghir,fr FRA,"FW,MF",18-046,7.6,1,0,0,11,16,2,6,3,9,0,0,0,33,5,9,35.7,Matches
Malang Sarr,fr FRA,DF,24-070,8.0,3,0,0,10,4,0,1,15,3,0,0,0,49,15,9,62.5,Matches
Takumi Minamino,jp JPN,"MF,FW",28-077,5.6,2,0,0,13,9,2,28,5,6,1,0,0,29,6,3,66.7,Matches
Ismail Jakobs,sn SEN,"DF,MF",23-229,7.2,2,0,0,5,5,0,39,4,2,0,0,0,27,23,20,53.5,Matches
Kevin Volland,de GER,"MF,FW",30-247,3.9,0,0,0,8,9,2,2,2,3,1,0,0,20,7,9,43.8,Matches
Maghnes Akliouche,fr FRA,"MF,FW",21-037,3.4,3,0,0,5,3,0,10,3,3,0,0,0,19,2,4,33.3,Matches
Gelson Martins,pt POR,"MF,FW",27-327,3.8,0,0,0,6,4,2,5,3,8,0,0,0,25,2,7,22.2,Matches
Jean Lucas,br BRA,MF,24-285,3.2,0,0,0,4,4,1,1,4,5,0,0,0,23,1,7,12.5,Matches
Chrislain Matsima,fr FRA,DF,20-323,1.4,0,0,0,2,1,0,2,1,2,0,0,0,10,3,0,100.0,Matches
Myron Boadu,nl NED,FW,22-079,1.5,0,0,0,5,1,4,1,0,1,0,0,0,6,6,5,54.5,Matches
Sofiane Diop,fr FRA,MF,22-298,0.7,0,0,0,0,2,1,7,1,0,0,0,0,4,2,0,100.0,Matches
Soungoutou Magassa,ml MLI,MF,19-177,0.8,0,0,0,2,0,0,0,1,1,0,0,0,4,1,1,50.0,Matches
Edan Diop,fr FRA,DF,18-218,0.7,0,0,0,1,0,0,2,1,1,0,0,0,7,0,0,,Matches
Squad Total,,,25.4,28.0,47,4,2,352,301,59,473,312,295,7,4,2,1622,370,340,52.1,
Opponent Total,,,27.1,28.0,45,2,0,313,339,42,418,327,268,4,7,1,1654,340,370,47.9,
