Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Hugo Lloris,fr FRA,GK,36-045,21,21,1890,21.0,29,1.38,95,67,70.5,12,2,7,7,33.3,1,1,0,0,0.0,Matches
Fraser Forster,eng ENG,GK,34-329,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,28.4,22,22,1980,22.0,31,1.41,99,69,69.7,12,3,7,7,31.8,1,1,0,0,0.0,
Opponent Total,,,27.2,22,22,1980,22.0,41,1.86,116,76,66.4,7,3,12,3,13.6,3,2,1,0,33.3,
