Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
3,Manchester Utd,11,8,2,1,21,8,13,26,2.36,18.8,10.4,8.3,0.76,11,5,2,4,15,20,-5,17,1.55,14.9,15.0,-0.1,-0.01
4,Newcastle Utd,11,6,5,0,19,6,13,23,2.09,20.9,8.5,12.4,1.12,10,4,5,1,15,6,9,17,1.7,12.9,10.2,2.7,0.27
5,Tottenham,11,7,0,4,22,15,7,21,1.91,18.8,11.7,7.0,0.64,11,5,3,3,19,16,3,18,1.64,13.2,15.1,-1.9,-0.17
6,Brighton,10,5,2,3,17,10,7,17,1.7,16.9,12.4,4.5,0.45,10,5,2,3,21,17,4,17,1.7,14.5,12.7,1.7,0.17
7,Brentford,11,6,4,1,23,10,13,22,2.0,17.9,12.8,5.1,0.46,10,2,5,3,12,18,-6,11,1.1,11.6,13.5,-1.9,-0.19
