Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Harry Kane,eng ENG,FW,29-196,21.8,518,467,46,10,8,11,24,19,0,0,0,0,360,5,25,Matches
Hugo Lloris,fr FRA,GK,36-045,21.0,625,443,179,16,0,0,0,0,0,0,0,0,493,3,1,Matches
Pierre Højbjerg,dk DEN,MF,27-188,20.8,1379,1330,46,31,5,22,11,10,1,0,0,0,1217,3,20,Matches
Eric Dier,eng ENG,DF,29-025,20.3,1357,1310,44,37,0,13,11,6,0,0,0,0,1168,3,12,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,18.2,546,450,92,16,1,0,83,4,69,30,22,0,391,4,19,Matches
Rodrigo Bentancur,uy URU,MF,25-229,16.0,835,808,24,10,3,3,16,4,1,0,0,0,702,3,17,Matches
Ben Davies,wls WAL,DF,29-291,15.0,858,814,41,22,0,6,13,19,0,0,0,0,725,3,9,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,15.0,727,579,145,9,0,10,122,90,46,42,1,0,474,3,26,Matches
Emerson,br BRA,DF,24-026,13.1,709,583,122,12,0,5,39,109,1,0,0,0,558,4,26,Matches
Cristian Romero,ar ARG,DF,24-288,13.3,783,739,43,31,1,13,0,12,0,0,0,0,681,1,14,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-290,11.7,393,369,24,0,2,2,25,4,9,0,0,0,300,0,14,Matches
Clément Lenglet,fr FRA,DF,27-237,10.4,720,711,9,6,0,8,11,3,0,0,0,0,632,0,6,Matches
Ryan Sessegnon,eng ENG,DF,22-267,9.0,390,318,72,2,2,1,30,70,0,0,0,0,280,0,19,Matches
Yves Bissouma,ml MLI,MF,26-163,9.0,571,558,11,8,1,2,2,0,0,0,0,0,514,2,8,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8,Matches
Davinson Sánchez,co COL,DF,26-242,6.2,386,380,6,3,0,0,2,3,0,0,0,0,339,0,4,Matches
Richarlison,br BRA,"MF,FW",25-275,5.4,150,145,5,0,3,1,8,0,0,0,0,0,111,0,5,Matches
Oliver Skipp,eng ENG,MF,22-146,2.2,100,98,2,2,1,0,8,0,0,0,0,0,78,0,4,Matches
Bryan,es ESP,"MF,FW",21-363,1.6,60,57,3,1,0,0,2,1,0,0,0,0,47,0,3,Matches
Pape Matar Sarr,sn SEN,MF,20-148,1.2,79,77,2,2,0,1,0,0,0,0,0,0,73,0,0,Matches
Fraser Forster,eng ENG,GK,34-329,1.0,22,15,6,1,0,0,0,0,0,0,0,0,18,1,0,Matches
Japhet Tanganga,eng ENG,DF,23-315,0.7,36,36,0,0,0,0,0,0,0,0,0,0,32,0,0,Matches
Lucas Moura,br BRA,"MF,DF",30-180,1.1,54,50,4,0,0,0,6,3,1,0,0,0,38,0,3,Matches
Djed Spence,eng ENG,"FW,DF",22-184,0.1,9,9,0,0,0,0,0,0,0,0,0,0,5,0,2,Matches
Harvey White,eng ENG,MF,21-143,0.1,8,6,2,0,1,0,3,0,2,2,0,0,3,0,0,Matches
Squad Total,,,28.4,22.0,11723,10697,989,221,28,99,434,416,130,74,23,0,9568,37,245,
Opponent Total,,,27.2,22.0,11657,10675,957,264,25,81,377,386,102,36,36,12,9528,25,178,
