Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Harry Kane,eng ENG,FW,29-196,22,1965.0,89.0,99.2,21.8,22,89.0,19,0,,0,1.77,41.0,30.0,11.0,0.5,6.5,31.8,26.6,5.2,0.24,0.54,Matches
Hugo Lloris,fr FRA,GK,36-045,21,1890.0,90.0,95.5,21.0,21,90.0,21,0,,1,1.81,39.0,29.0,10.0,0.48,0.48,30.9,24.8,6.0,0.29,1.18,Matches
Pierre Højbjerg,dk DEN,MF,27-188,21,1871.0,89.0,94.5,20.8,21,89.0,19,0,,0,1.86,40.0,29.0,11.0,0.53,1.35,30.3,25.3,5.0,0.24,0.13,Matches
Eric Dier,eng ENG,DF,29-025,21,1825.0,87.0,92.2,20.3,20,90.0,19,1,34.0,1,1.86,40.0,27.0,13.0,0.64,2.38,30.6,25.3,5.4,0.27,0.4,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,20,1638.0,82.0,82.7,18.2,19,85.0,11,1,32.0,0,1.8,31.0,24.0,7.0,0.38,-0.4,26.2,21.9,4.3,0.24,0.03,Matches
Rodrigo Bentancur,uy URU,MF,25-229,17,1436.0,84.0,72.5,16.0,16,88.0,10,1,33.0,0,2.0,32.0,21.0,11.0,0.69,0.85,25.3,18.3,7.1,0.44,0.76,Matches
Ben Davies,wls WAL,DF,29-291,19,1351.0,71.0,68.2,15.0,15,89.0,13,4,5.0,1,1.74,25.0,18.0,7.0,0.47,0.04,19.7,15.3,4.4,0.3,0.19,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,22,1346.0,61.0,68.0,15.0,15,81.0,6,7,18.0,0,1.77,27.0,20.0,7.0,0.47,0.04,21.1,18.3,2.8,0.19,-0.14,Matches
Emerson,br BRA,DF,24-026,17,1180.0,69.0,59.6,13.1,14,80.0,7,3,20.0,2,1.88,23.0,18.0,5.0,0.38,-0.18,19.7,15.6,4.1,0.31,0.2,Matches
Cristian Romero,ar ARG,DF,24-288,14,1194.0,85.0,60.3,13.3,13,89.0,11,1,32.0,0,1.79,23.0,17.0,6.0,0.45,-0.01,18.1,16.1,2.1,0.16,-0.19,Matches
