Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
3,Manchester Utd,22,13,4,5,36,28,8,43,1.95,33.7,25.4,8.3,0.38,W D L W D,73793,Marcus Rashford - 11,David de Gea,
4,Newcastle Utd,21,10,10,1,34,12,22,40,1.9,33.8,18.7,15.1,0.72,D D W D D,52194,Miguel Almirón - 9,Nick Pope,
5,Tottenham,22,12,3,7,41,31,10,39,1.77,32.0,26.8,5.1,0.23,W L L W W,61691,Harry Kane - 17,Hugo Lloris,
6,Brighton,20,10,4,6,38,27,11,34,1.7,31.3,25.1,6.2,0.31,L W W D W,31487,Leandro Trossard - 7,Robert Sánchez,
7,Brentford,21,8,9,4,35,28,7,33,1.57,29.5,26.3,3.2,0.15,W W W D W,17076,Ivan Toney - 13,David Raya,
