Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Harry Kane,eng ENG,FW,29-196,21.8,751,17,56,353,355,107,748,61,21,34.4,32,52.5,467,2602,1060,38,31,13,36,41,590,122,Matches
Hugo Lloris,fr FRA,GK,36-045,21.0,682,623,681,1,0,0,682,0,0,,0,,374,2109,1296,0,0,0,2,0,303,0,Matches
Pierre Højbjerg,dk DEN,MF,27-188,20.8,1594,71,397,916,295,20,1594,16,12,75.0,3,18.8,918,4315,2078,27,26,6,28,28,1180,52,Matches
Eric Dier,eng ENG,DF,29-025,20.3,1530,240,896,582,58,19,1530,0,0,,0,,951,4424,2106,5,7,1,9,3,1091,11,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,18.2,735,5,74,270,405,58,735,43,13,30.2,24,55.8,435,2837,1477,53,37,15,44,32,509,122,Matches
Rodrigo Bentancur,uy URU,MF,25-229,16.0,1018,51,285,570,170,16,1018,32,20,62.5,11,34.4,550,2780,1307,24,14,1,20,16,693,18,Matches
Ben Davies,wls WAL,DF,29-291,15.0,979,64,357,507,116,13,979,7,1,14.3,5,71.4,585,3250,2065,23,28,1,11,4,702,27,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,15.0,877,36,212,298,373,54,877,24,8,33.3,13,54.2,406,2377,1210,58,17,22,25,9,478,115,Matches
Emerson,br BRA,DF,24-026,13.1,876,66,315,304,262,34,876,19,10,52.6,3,15.8,426,2214,1292,33,20,6,15,12,509,81,Matches
Cristian Romero,ar ARG,DF,24-288,13.3,933,145,459,422,56,8,933,11,7,63.6,4,36.4,594,2702,1521,12,13,1,13,8,608,4,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-290,11.7,547,13,88,191,285,65,547,59,22,37.3,32,54.2,364,2688,1457,53,26,31,42,22,379,106,Matches
Clément Lenglet,fr FRA,DF,27-237,10.4,817,90,411,357,52,8,817,4,1,25.0,2,50.0,581,2719,1613,14,13,0,7,1,624,5,Matches
Ryan Sessegnon,eng ENG,DF,22-267,9.0,494,29,157,171,168,27,494,10,4,40.0,4,40.0,233,1435,815,24,11,5,11,10,270,64,Matches
Yves Bissouma,ml MLI,MF,26-163,9.0,639,17,127,411,102,1,639,7,5,71.4,2,28.6,371,2011,816,10,8,0,13,5,465,7,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,7.4,500,27,144,184,172,24,500,12,5,41.7,4,33.3,247,953,443,16,5,2,12,3,306,57,Matches
Davinson Sánchez,co COL,DF,26-242,6.2,468,61,244,195,30,8,468,4,1,25.0,2,50.0,269,1033,537,4,2,0,2,2,321,3,Matches
Richarlison,br BRA,"MF,FW",25-275,5.4,238,7,48,89,104,29,238,16,4,25.0,11,68.8,145,846,391,14,13,4,19,12,166,41,Matches
Oliver Skipp,eng ENG,MF,22-146,2.2,113,7,30,48,37,2,113,1,0,0.0,1,100.0,60,277,140,4,5,0,1,1,77,10,Matches
Bryan,es ESP,"MF,FW",21-363,1.6,80,1,13,30,37,2,80,5,2,40.0,3,60.0,55,337,145,4,3,0,5,3,61,15,Matches
Pape Matar Sarr,sn SEN,MF,20-148,1.2,98,8,34,52,12,1,98,3,0,0.0,1,33.3,76,383,170,1,0,0,2,1,71,0,Matches
Fraser Forster,eng ENG,GK,34-329,1.0,25,24,25,0,0,0,25,0,0,,0,,13,96,59,0,0,0,0,0,7,0,Matches
Japhet Tanganga,eng ENG,DF,23-315,0.7,44,3,17,26,1,0,44,1,1,100.0,0,0.0,31,156,82,0,1,0,3,1,27,1,Matches
Lucas Moura,br BRA,"MF,DF",30-180,1.1,75,0,10,27,38,5,75,7,2,28.6,5,71.4,40,247,88,3,3,1,4,3,50,10,Matches
Djed Spence,eng ENG,"FW,DF",22-184,0.1,12,0,3,1,8,2,12,1,0,0.0,0,0.0,8,92,66,2,1,1,0,2,10,2,Matches
Harvey White,eng ENG,MF,21-143,0.1,8,0,0,4,4,0,8,0,0,,0,,5,11,4,0,0,0,0,0,5,1,Matches
Squad Total,,,28.4,22.0,14133,1605,5083,6009,3140,503,14130,343,139,40.5,162,47.2,8204,42894,22238,422,284,110,324,219,9502,874,
Opponent Total,,,27.2,22.0,14155,1386,3989,6300,3981,538,14154,326,128,39.3,149,45.7,8023,40381,19358,381,296,119,314,206,9446,861,
