Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Harry Kane,eng ENG,FW,29-196,21.8,360,518,69.5,6673,2407,167,213,78.4,126,162,77.8,54,86,62.8,1,3.4,1.9,-2.4,37,51,30,4,105,Matches
Hugo Lloris,fr FRA,GK,36-045,21.0,493,625,78.9,11886,7412,151,153,98.7,211,212,99.5,131,256,51.2,0,0.0,0.0,0.0,0,12,0,0,0,Matches
Pierre Højbjerg,dk DEN,MF,27-188,20.8,1217,1379,88.3,21792,5774,528,579,91.2,494,539,91.7,147,185,79.5,3,2.2,2.0,0.8,20,118,24,5,135,Matches
Eric Dier,eng ENG,DF,29-025,20.3,1168,1357,86.1,22848,8817,424,456,93.0,586,634,92.4,137,222,61.7,0,0.8,0.4,-0.8,6,55,6,3,64,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,18.2,391,546,71.6,5110,1490,246,284,86.6,98,141,69.5,17,57,29.8,3,3.4,2.3,-0.4,33,19,19,3,42,Matches
Rodrigo Bentancur,uy URU,MF,25-229,16.0,702,835,84.1,10996,3010,347,388,89.4,287,321,89.4,39,68,57.4,2,0.8,0.7,1.2,11,50,9,4,71,Matches
Ben Davies,wls WAL,DF,29-291,15.0,725,858,84.5,12152,4230,344,377,91.2,307,341,90.0,55,94,58.5,1,1.8,1.1,-0.8,13,57,3,2,76,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,15.0,474,727,65.2,8389,2492,230,286,80.4,166,251,66.1,64,139,46.0,5,3.7,3.6,1.3,30,18,26,18,42,Matches
Emerson,br BRA,DF,24-026,13.1,558,709,78.7,8777,2599,293,330,88.8,209,248,84.3,36,66,54.5,1,0.6,0.7,0.4,6,35,13,3,58,Matches
Cristian Romero,ar ARG,DF,24-288,13.3,681,783,87.0,12514,4407,256,289,88.6,349,368,94.8,61,88,69.3,0,0.3,0.5,-0.3,3,43,5,0,51,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-290,11.7,300,393,76.3,4127,1120,169,203,83.3,99,126,78.6,12,24,50.0,5,2.7,3.4,2.3,25,8,21,6,37,Matches
Clément Lenglet,fr FRA,DF,27-237,10.4,632,720,87.8,11887,4556,229,232,98.7,334,368,90.8,59,100,59.0,2,0.6,0.6,1.4,5,41,4,3,41,Matches
Ryan Sessegnon,eng ENG,DF,22-267,9.0,280,390,71.8,4093,1075,178,213,83.6,81,120,67.5,16,29,55.2,0,1.1,1.1,-1.1,6,16,11,3,22,Matches
Yves Bissouma,ml MLI,MF,26-163,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Matches
Davinson Sánchez,co COL,DF,26-242,6.2,339,386,87.8,6152,1814,120,124,96.8,199,215,92.6,17,39,43.6,0,0.1,0.2,-0.1,1,27,1,1,24,Matches
Richarlison,br BRA,"MF,FW",25-275,5.4,111,150,74.0,1711,501,58,77,75.3,34,44,77.3,9,12,75.0,2,1.3,1.1,0.7,9,10,8,2,19,Matches
Oliver Skipp,eng ENG,MF,22-146,2.2,78,100,78.0,1110,293,42,49,85.7,32,36,88.9,1,4,25.0,0,0.2,0.1,-0.2,3,3,3,1,7,Matches
Bryan,es ESP,"MF,FW",21-363,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,0.8,2,3,2,0,5,Matches
Pape Matar Sarr,sn SEN,MF,20-148,1.2,73,79,92.4,1100,232,35,37,94.6,34,36,94.4,1,3,33.3,0,0.0,0.0,0.0,1,6,0,0,10,Matches
Fraser Forster,eng ENG,GK,34-329,1.0,18,22,81.8,450,290,2,2,100.0,12,12,100.0,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Japhet Tanganga,eng ENG,DF,23-315,0.7,32,36,88.9,484,118,19,22,86.4,12,13,92.3,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Lucas Moura,br BRA,"MF,DF",30-180,1.1,38,54,70.4,493,138,26,32,81.3,11,16,68.8,0,1,0.0,0,0.0,0.1,0.0,1,2,4,1,7,Matches
Djed Spence,eng ENG,"FW,DF",22-184,0.1,5,9,55.6,60,4,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Harvey White,eng ENG,MF,21-143,0.1,3,8,37.5,54,21,2,3,66.7,0,2,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,1,0,Matches
Squad Total,,,28.4,22.0,9568,11723,81.6,166235,55888,4352,4871,89.3,4011,4584,87.5,907,1556,58.3,26,24.0,20.5,2.0,226,630,199,64,882,
Opponent Total,,,27.2,22.0,9528,11657,81.7,163707,52392,4523,5040,89.7,3891,4433,87.8,886,1618,54.8,22,19.1,19.6,2.9,243,816,165,40,871,
