Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Stijn van Gassel,nl NED,GK,26-152,25.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,10,2,Matches
Siebe Horemans,be BEL,DF,24-290,24.2,56,32,38,17,1,35,61,57.4,26,32,8,24,51,107,94,0,Matches
Redouan El Yaakoubi,nl NED,DF,27-053,23.5,35,27,25,10,0,14,17,82.4,3,35,25,10,41,76,142,3,Matches
Kenzo Goudmijn,nl NED,MF,21-091,22.6,36,21,13,15,8,16,34,47.1,18,19,0,19,10,46,7,0,Matches
Nathan Tjoe-A-On,nl NED,DF,21-087,22.9,57,33,47,4,6,31,66,47.0,35,20,7,13,53,110,72,0,Matches
Marouan Azarkan,nl NED,"FW,MF",21-101,15.3,26,15,8,11,7,13,29,44.8,16,20,0,20,9,35,12,0,Matches
Julian Baas,nl NED,"MF,FW",20-337,19.3,33,16,24,6,3,13,44,29.5,31,22,9,13,23,56,45,0,Matches
Couhaib Driouech,nl NED,"FW,MF",20-336,18.6,29,23,15,10,4,13,32,40.6,19,23,2,21,9,38,18,0,Matches
Sven Nieuwpoort,nl NED,DF,29-340,14.9,16,12,13,3,0,9,11,81.8,2,12,7,5,5,21,44,0,Matches
Reda Kharchouch,nl NED,FW,27-204,12.4,13,10,2,6,5,6,7,85.7,1,8,2,6,0,13,15,0,Matches
Serano Seymor,nl NED,DF,21-074,10.5,20,12,12,7,1,9,13,69.2,4,13,8,5,18,38,52,1,Matches
Lazaros Lamprou,gr GRE,"FW,MF",25-090,10.0,12,7,7,3,2,10,22,45.5,12,15,0,15,6,18,10,0,Matches
Yassin Ayoub,nl NED,MF,29-013,7.3,29,17,8,21,0,10,17,58.8,7,6,1,5,4,33,8,0,Matches
Mike van Duinen,nl NED,"FW,MF",31-133,9.9,14,7,4,7,3,3,14,21.4,11,8,1,7,4,18,16,0,Matches
Adrian Fein,de GER,MF,24-001,8.1,14,5,8,1,5,9,14,64.3,5,3,1,2,2,16,9,0,Matches
Peer Koopmeiners,nl NED,MF,22-319,7.8,29,14,14,13,2,18,25,72.0,7,14,4,10,10,39,19,0,Matches
Joshua Eijgenraam,nl NED,MF,22-029,6.5,15,8,9,6,0,8,16,50.0,8,10,2,8,12,27,7,1,Matches
Nathan Markelo,cw CUW,DF,24-071,3.8,6,3,4,2,0,3,6,50.0,3,4,0,4,5,11,20,0,Matches
Nikolas Agrafiotis,nl NED,"FW,MF",22-328,3.4,5,5,2,2,1,0,3,0.0,3,5,1,4,0,5,4,0,Matches
Noah Naujoks,nl NED,MF,20-321,3.0,7,3,3,4,0,2,9,22.2,7,1,0,1,1,8,2,0,Matches
Maxime Awoudja,de GER,DF,25-045,2.8,6,4,4,2,0,1,2,50.0,1,5,2,3,7,13,22,0,Matches
Raphaël Eyongo,nl NED,"FW,MF",19-302,0.9,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,Matches
Jacky Donkor,be BEL,"FW,MF",24-127,0.7,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,0,0,Matches
Vicente Besuijen,nl NED,"FW,MF",21-343,0.7,4,3,2,1,1,3,3,100.0,0,2,0,2,0,4,1,0,Matches
Arthur Zagre,fr FRA,DF,21-166,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Luuk Admiraal,nl NED,FW,21-004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.2,25.0,464,278,263,152,49,228,450,50.7,222,279,80,199,274,738,632,7,
Opponent Total,,,25.7,25.0,364,239,149,148,67,146,330,44.2,184,257,58,199,237,601,401,6,
