Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-08-07,14:00,Premier League,Matchweek 1,Sun,Home,L,1.0,2.0,Brighton,1.4,1.5,62.0,73711.0,Harry Maguire,4-3-3,Paul Tierney,Match Report,
2022-08-13,17:30,Premier League,Matchweek 2,Sat,Away,L,0.0,4.0,Brentford,0.9,1.6,66.0,17051.0,Harry Maguire,4-2-3-1,Stuart Attwell,Match Report,
2022-08-22,20:00,Premier League,Matchweek 3,Mon,Home,W,2.0,1.0,Liverpool,1.8,1.3,30.0,74147.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2022-08-27,12:30,Premier League,Matchweek 4,Sat,Away,W,1.0,0.0,Southampton,1.1,1.4,51.0,31196.0,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,
2022-09-01,20:00,Premier League,Matchweek 5,Thu,Away,W,1.0,0.0,Leicester City,1.5,0.7,47.0,32226.0,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
2022-09-04,16:30,Premier League,Matchweek 6,Sun,Home,W,3.0,1.0,Arsenal,1.5,1.3,40.0,73431.0,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,
2022-09-08,20:00,Europa Lg,Group stage,Thu,Home,L,0.0,1.0,es Real Sociedad,0.8,1.1,55.0,74310.0,Harry Maguire,4-2-3-1,Marco Di Bello,Match Report,
2022-09-15,19:45,Europa Lg,Group stage,Thu,Away,W,2.0,0.0,md Sheriff Tiraspol,1.6,0.3,68.0,8734.0,Bruno Fernandes,4-2-3-1,Paweł Raczkowski,Match Report,
2022-10-02,14:00,Premier League,Matchweek 9,Sun,Away,L,3.0,6.0,Manchester City,1.7,3.2,47.0,53475.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2022-10-06,19:45,Europa Lg,Group stage,Thu,Away,W,3.0,2.0,cy AC Omonia,3.1,1.2,73.0,20011.0,Bruno Fernandes,4-2-3-1,João Pinheiro,Match Report,
2022-10-09,19:00,Premier League,Matchweek 10,Sun,Away,W,2.0,1.0,Everton,1.4,0.6,60.0,39258.0,Bruno Fernandes,4-2-3-1,David Coote,Match Report,
2022-10-13,20:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,cy AC Omonia,4.2,0.1,78.0,74310.0,Bruno Fernandes,4-2-3-1,Jérôme Brisard,Match Report,
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,0.0,0.0,Newcastle Utd,0.8,0.8,63.0,73726.0,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
2022-10-19,20:15,Premier League,Matchweek 12,Wed,Home,W,2.0,0.0,Tottenham,1.5,0.6,52.0,73677.0,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,
2022-10-22,17:30,Premier League,Matchweek 13,Sat,Away,D,1.0,1.0,Chelsea,0.8,1.1,52.0,39503.0,Bruno Fernandes,4-1-4-1,Stuart Attwell,Match Report,
2022-10-27,20:00,Europa Lg,Group stage,Thu,Home,W,3.0,0.0,md Sheriff Tiraspol,2.7,0.0,74.0,73764.0,Bruno Fernandes,4-2-3-1,Anastasios Sidiropoulos,Match Report,
2022-10-30,16:15,Premier League,Matchweek 14,Sun,Home,W,1.0,0.0,West Ham,1.2,1.1,53.0,73682.0,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
2022-11-03,18:45,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,es Real Sociedad,0.7,1.1,53.0,36744.0,Bruno Fernandes,4-2-3-1,Georgi Kabakov,Match Report,
2022-11-06,14:00,Premier League,Matchweek 15,Sun,Away,L,1.0,3.0,Aston Villa,0.5,0.6,58.0,42058.0,Cristiano Ronaldo,4-2-3-1,Anthony Taylor,Match Report,
2022-11-10,20:00,EFL Cup,Third round,Thu,Home,W,4.0,2.0,Aston Villa,,,59.0,72512.0,Harry Maguire,4-2-3-1,David Coote,Match Report,
2022-11-13,16:30,Premier League,Matchweek 16,Sun,Away,W,2.0,1.0,Fulham,2.5,1.4,47.0,24246.0,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,
2022-12-21,20:00,EFL Cup,Fourth round,Wed,Home,W,2.0,0.0,Burnley,,,55.0,62062.0,Bruno Fernandes,4-2-3-1,Graham Scott,Match Report,
2022-12-27,20:00,Premier League,Matchweek 17,Tue,Home,W,3.0,0.0,Nott'ham Forest,2.4,0.7,65.0,73608.0,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,
2022-12-31,12:30,Premier League,Matchweek 18,Sat,Away,W,1.0,0.0,Wolves,2.0,0.7,54.0,31658.0,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,
2023-01-03,20:00,Premier League,Matchweek 19,Tue,Home,W,3.0,0.0,Bournemouth,2.2,0.6,58.0,73322.0,Harry Maguire,4-2-3-1,Michael Salisbury,Match Report,
2023-01-06,20:00,FA Cup,Third round proper,Fri,Home,W,3.0,1.0,Everton,,,58.0,72306.0,Bruno Fernandes,4-2-3-1,Darren England,Match Report,
2023-01-10,20:00,EFL Cup,Quarter-finals,Tue,Home,W,3.0,0.0,Charlton Ath,,,69.0,74345.0,Harry Maguire,4-2-3-1,Jarred Gillett,Match Report,
