Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
David de Gea,es ESP,GK,32-094,22.0,483,673,71.8,12009,8389,126,126,100.0,221,224,98.7,132,314,42.0,0,0.1,0.0,-0.1,1,2,1,0,0,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21.0,800,1079,74.1,13103,4344,433,506,85.6,244,316,77.2,90,166,54.2,4,7.1,5.3,-3.1,57,70,46,5,141,Matches
Marcus Rashford,eng ENG,FW,25-101,19.9,387,514,75.3,5577,1318,251,298,84.2,92,114,80.7,26,44,59.1,3,2.4,2.0,0.6,17,21,32,2,52,Matches
Lisandro Martínez,ar ARG,DF,25-022,17.4,981,1131,86.7,17634,6029,388,414,93.7,508,543,93.6,70,145,48.3,0,0.2,1.0,-0.2,5,67,5,0,59,Matches
Christian Eriksen,dk DEN,MF,30-360,16.5,813,1031,78.9,13451,3987,423,480,88.1,289,345,83.8,74,146,50.7,7,3.0,2.5,4.0,25,89,17,2,104,Matches
Luke Shaw,eng ENG,DF,27-212,16.7,1020,1241,82.2,15482,5901,596,652,91.4,338,401,84.3,61,114,53.5,1,1.8,1.6,-0.8,18,98,21,10,80,Matches
Raphaël Varane,fr FRA,DF,29-290,14.4,679,786,86.4,12970,4157,218,241,90.5,404,436,92.7,49,93,52.7,0,0.1,0.3,-0.1,3,60,3,0,44,Matches
Diogo Dalot,pt POR,DF,23-328,14.1,639,826,77.4,11475,3707,274,313,87.5,284,347,81.8,68,123,55.3,2,1.5,1.1,0.5,22,54,21,12,49,Matches
Casemiro,br BRA,MF,30-351,13.7,664,855,77.7,11745,3918,305,365,83.6,270,328,82.3,75,124,60.5,3,2.0,2.3,1.0,16,77,14,3,82,Matches
Antony,br BRA,FW,22-350,10.1,319,413,77.2,4058,812,226,261,86.6,66,94,70.2,12,25,48.0,0,0.4,0.7,-0.4,8,14,8,0,28,Matches
Jadon Sancho,eng ENG,FW,22-321,8.3,264,322,82.0,3179,754,193,218,88.5,50,60,83.3,6,12,50.0,1,1.1,1.2,-0.1,17,7,17,0,32,Matches
Tyrell Malacia,nl NED,DF,23-176,9.4,371,447,83.0,5176,1617,247,267,92.5,94,115,81.7,17,35,48.6,0,0.1,0.4,-0.1,1,24,2,0,27,Matches
Fred,br BRA,MF,29-341,8.5,373,470,79.4,5627,1565,203,236,86.0,115,135,85.2,30,47,63.8,0,1.1,0.7,-1.1,16,29,5,1,41,Matches
Scott McTominay,sct SCO,MF,26-063,8.4,216,267,80.9,3445,945,111,134,82.8,82,94,87.2,16,24,66.7,0,0.2,0.5,-0.2,3,17,1,0,19,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,6.8,270,329,82.1,3718,1314,185,199,93.0,66,88,75.0,12,18,66.7,0,0.5,0.3,-0.5,6,22,3,2,20,Matches
Anthony Martial,fr FRA,FW,27-066,5.1,107,133,80.5,1316,409,70,78,89.7,28,33,84.8,2,6,33.3,2,0.9,0.8,1.1,5,9,4,0,15,Matches
Anthony Elanga,se SWE,FW,20-288,4.4,90,122,73.8,1135,292,62,82,75.6,21,29,72.4,3,3,100.0,1,0.8,1.0,0.2,5,3,2,0,6,Matches
Cristiano Ronaldo,pt POR,FW,38-004,5.8,121,162,74.7,1412,258,85,97,87.6,27,39,69.2,1,5,20.0,0,0.4,0.2,-0.4,6,7,1,0,12,Matches
Victor Lindelöf,se SWE,DF,28-207,5.0,292,316,92.4,5149,1695,104,111,93.7,166,172,96.5,19,30,63.3,0,0.0,0.0,0.0,0,17,0,0,15,Matches
Harry Maguire,eng ENG,DF,29-341,4.3,215,245,87.8,4169,1190,76,79,96.2,105,119,88.2,29,41,70.7,0,0.0,0.0,0.0,1,19,0,0,10,Matches
Wout Weghorst,nl NED,FW,30-186,3.0,42,62,67.7,495,60,30,41,73.2,5,6,83.3,3,6,50.0,0,0.4,0.5,-0.4,5,1,0,0,5,Matches
