Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
David de Gea,es ESP,GK,32-094,22,1980.0,90.0,100.0,22.0,22,90.0,22,0,,0,1.95,36.0,28.0,8.0,0.36,,33.7,25.4,8.3,0.38,,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21,1888.0,90.0,95.4,21.0,21,90.0,19,0,,0,2.05,35.0,25.0,10.0,0.48,2.43,33.2,24.7,8.5,0.41,0.68,Matches
Marcus Rashford,eng ENG,FW,25-101,22,1795.0,82.0,90.7,19.9,20,87.0,13,2,32.0,0,1.95,32.0,25.0,7.0,0.35,-0.14,29.9,22.2,7.7,0.38,0.09,Matches
Lisandro Martínez,ar ARG,DF,25-022,20,1568.0,78.0,79.2,17.4,18,87.0,16,2,2.0,0,1.85,27.0,27.0,0.0,0.0,-1.75,24.7,22.4,2.3,0.13,-1.16,Matches
Christian Eriksen,dk DEN,MF,30-360,19,1489.0,78.0,75.2,16.5,18,83.0,7,1,4.0,0,2.0,24.0,23.0,1.0,0.06,-1.22,23.2,19.5,3.7,0.22,-0.61,Matches
Luke Shaw,eng ENG,DF,27-212,18,1503.0,84.0,75.9,16.7,17,86.0,14,1,45.0,3,1.72,29.0,22.0,7.0,0.42,0.23,27.0,18.0,9.0,0.54,0.67,Matches
Raphaël Varane,fr FRA,DF,29-290,17,1299.0,76.0,65.6,14.4,15,84.0,11,2,23.0,2,2.0,21.0,13.0,8.0,0.55,0.55,21.6,16.1,5.5,0.38,0.01,Matches
Diogo Dalot,pt POR,DF,23-328,15,1268.0,85.0,64.0,14.1,14,89.0,12,1,22.0,1,1.8,21.0,21.0,0.0,0.0,-1.01,18.9,16.6,2.3,0.16,-0.59,Matches
Casemiro,br BRA,MF,30-351,17,1230.0,72.0,62.1,13.7,13,88.0,10,4,22.0,0,2.29,23.0,10.0,13.0,0.95,1.55,23.3,11.5,11.7,0.86,1.28,Matches
