Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David de Gea,es ESP,GK,32-094,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21.0,5,43,13,30.2,2.05,0.62,0.09,0.31,21.6,3,1,1,4.5,3.7,0.09,0.5,0.3,Matches
Marcus Rashford,eng ENG,FW,25-101,19.9,11,60,26,43.3,3.01,1.3,0.18,0.42,15.9,4,0,0,8.4,8.4,0.14,2.6,2.6,Matches
Lisandro Martínez,ar ARG,DF,25-022,17.4,1,4,1,25.0,0.23,0.06,0.25,1.0,16.9,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Christian Eriksen,dk DEN,MF,30-360,16.5,1,23,8,34.8,1.39,0.48,0.04,0.13,19.1,3,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
Luke Shaw,eng ENG,DF,27-212,16.7,1,6,3,50.0,0.36,0.18,0.17,0.33,17.2,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
Raphaël Varane,fr FRA,DF,29-290,14.4,0,5,2,40.0,0.35,0.14,0.0,0.0,9.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Diogo Dalot,pt POR,DF,23-328,14.1,0,14,4,28.6,0.99,0.28,0.0,0.0,19.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Casemiro,br BRA,MF,30-351,13.7,2,17,5,29.4,1.24,0.37,0.12,0.4,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
Antony,br BRA,FW,22-350,10.1,3,33,14,42.4,3.27,1.39,0.09,0.21,20.4,0,0,0,2.7,2.7,0.08,0.3,0.3,Matches
Jadon Sancho,eng ENG,FW,22-321,8.3,3,8,5,62.5,0.97,0.6,0.38,0.6,15.3,0,0,0,1.7,1.7,0.21,1.3,1.3,Matches
Tyrell Malacia,nl NED,DF,23-176,9.4,0,3,1,33.3,0.32,0.11,0.0,0.0,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Fred,br BRA,MF,29-341,8.5,2,21,5,23.8,2.48,0.59,0.1,0.4,18.4,0,0,0,1.7,1.7,0.08,0.3,0.3,Matches
Scott McTominay,sct SCO,MF,26-063,8.4,0,7,3,42.9,0.84,0.36,0.0,0.0,14.2,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,6.8,0,1,0,0.0,0.15,0.0,0.0,,25.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Anthony Martial,fr FRA,FW,27-066,5.1,3,11,5,45.5,2.16,0.98,0.18,0.4,12.9,0,1,1,3.2,2.4,0.22,-0.2,-0.4,Matches
Anthony Elanga,se SWE,FW,20-288,4.4,0,8,3,37.5,1.81,0.68,0.0,0.0,14.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Cristiano Ronaldo,pt POR,FW,38-004,5.8,1,25,6,24.0,4.29,1.03,0.04,0.17,17.7,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
Victor Lindelöf,se SWE,DF,28-207,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harry Maguire,eng ENG,DF,29-341,4.3,0,1,0,0.0,0.23,0.0,0.0,,5.7,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Wout Weghorst,nl NED,FW,30-186,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,10.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Alejandro Garnacho,es ESP,FW,18-223,3.6,1,12,5,41.7,3.29,1.37,0.08,0.2,15.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
Donny van de Beek,nl NED,MF,25-297,1.9,0,2,0,0.0,1.08,0.0,0.0,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Marcel Sabitzer,at AUT,MF,28-329,1.0,0,3,1,33.3,2.97,0.99,0.0,0.0,22.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Facundo Pellistri,uy URU,FW,21-051,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.6,22.0,34,309,111,35.9,14.05,5.05,0.1,0.29,18.0,11,2,2,33.7,32.1,0.11,0.3,-0.1,
Opponent Total,,,27.2,22.0,27,260,82,31.5,11.82,3.73,0.1,0.32,16.6,13,1,1,25.4,24.6,0.1,1.6,1.4,
