Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
David de Gea,es ESP,GK,32-094,22.0,718,593,714,4,0,0,718,0,0,,0,,426,2038,1249,0,0,0,0,0,419,0,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21.0,1297,46,207,517,584,73,1296,31,12,38.7,15,48.4,719,3333,1663,41,38,7,23,30,879,117,Matches
Marcus Rashford,eng ENG,FW,25-101,19.9,761,10,66,292,417,109,761,75,26,34.7,41,54.7,460,2953,1377,50,32,30,52,27,588,148,Matches
Lisandro Martínez,ar ARG,DF,25-022,17.4,1335,219,699,602,44,6,1335,9,9,100.0,0,0.0,775,3938,2310,11,13,0,10,7,848,1,Matches
Christian Eriksen,dk DEN,MF,30-360,16.5,1150,37,210,629,312,22,1150,8,2,25.0,6,75.0,661,2565,1262,16,18,1,19,14,831,42,Matches
Luke Shaw,eng ENG,DF,27-212,16.7,1409,84,438,675,308,15,1409,14,1,7.1,10,71.4,786,3843,2040,42,29,1,14,5,861,50,Matches
Raphaël Varane,fr FRA,DF,29-290,14.4,926,111,434,461,33,13,926,4,2,50.0,2,50.0,573,4025,2398,11,12,0,2,1,612,2,Matches
Diogo Dalot,pt POR,DF,23-328,14.1,976,71,337,398,247,27,976,23,13,56.5,6,26.1,479,2605,1343,34,16,12,14,4,559,54,Matches
Casemiro,br BRA,MF,30-351,13.7,1054,63,316,567,181,14,1054,12,4,33.3,5,41.7,503,1675,755,8,11,0,14,10,667,23,Matches
Antony,br BRA,FW,22-350,10.1,531,5,81,177,287,35,531,31,10,32.3,15,48.4,382,2475,1264,48,35,14,15,7,404,80,Matches
Jadon Sancho,eng ENG,FW,22-321,8.3,393,2,44,138,217,44,393,24,9,37.5,13,54.2,252,1582,878,37,15,21,25,7,292,67,Matches
Tyrell Malacia,nl NED,DF,23-176,9.4,564,35,213,225,131,7,564,10,2,20.0,8,80.0,264,1352,693,14,12,1,12,3,302,20,Matches
Fred,br BRA,MF,29-341,8.5,605,22,157,268,187,25,605,10,4,40.0,5,50.0,308,1197,616,7,14,1,20,9,359,28,Matches
Scott McTominay,sct SCO,MF,26-063,8.4,387,50,132,177,79,14,387,14,8,57.1,4,28.6,173,795,303,5,7,1,16,9,211,15,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,6.8,404,27,127,165,114,13,404,11,5,45.5,6,54.5,202,1050,563,16,10,2,8,5,224,23,Matches
Anthony Martial,fr FRA,FW,27-066,5.1,173,3,5,70,98,23,172,9,4,44.4,4,44.4,107,431,207,7,5,4,15,4,145,28,Matches
Anthony Elanga,se SWE,FW,20-288,4.4,181,4,25,62,94,25,181,12,3,25.0,6,50.0,101,578,215,10,3,5,11,7,129,25,Matches
Cristiano Ronaldo,pt POR,FW,38-004,5.8,220,8,25,91,106,32,220,9,4,44.4,3,33.3,94,477,288,9,6,3,7,3,167,33,Matches
Victor Lindelöf,se SWE,DF,28-207,5.0,358,43,180,169,10,0,358,0,0,,0,,225,1065,546,1,0,0,0,0,253,0,Matches
Harry Maguire,eng ENG,DF,29-341,4.3,299,34,149,133,17,4,299,1,0,0.0,1,100.0,167,921,573,3,1,0,0,0,200,2,Matches
Wout Weghorst,nl NED,FW,30-186,3.0,89,6,14,45,31,9,89,2,0,0.0,2,100.0,44,101,20,0,2,0,3,6,61,16,Matches
Alejandro Garnacho,es ESP,FW,18-223,3.6,183,1,19,37,130,36,183,24,6,25.0,14,58.3,133,1031,599,21,21,17,16,9,141,55,Matches
Donny van de Beek,nl NED,MF,25-297,1.9,72,1,3,23,46,11,72,2,1,50.0,1,50.0,39,148,85,2,3,0,2,2,53,20,Matches
Marcel Sabitzer,at AUT,MF,28-329,1.0,65,5,16,23,26,2,65,0,0,,0,,28,97,42,0,2,0,0,1,33,3,Matches
Facundo Pellistri,uy URU,FW,21-051,0.4,9,0,1,3,5,0,9,0,0,,0,,9,83,11,0,0,0,1,0,10,2,Matches
Squad Total,,,27.6,22.0,14159,1480,4612,5951,3704,559,14157,335,125,37.3,167,49.9,7910,40358,21300,393,305,120,299,170,9248,854,
Opponent Total,,,27.2,22.0,12962,1537,4461,5242,3385,565,12961,379,136,35.9,172,45.4,6918,38586,20081,392,274,110,326,202,8093,766,
