Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
David de Gea,es ESP,GK,32-094,22.0,28,1,2,5,1,23.8,0.28,-3.2,-0.15,69,241,28.6,570,79,30.9,31.3,98,66.3,49.4,321,8,2.5,18,0.82,15.2,Matches
Squad Total,,,27.6,22.0,28,1,2,5,1,23.8,0.28,-3.2,-0.15,69,241,28.6,570,79,30.9,31.3,98,66.3,49.4,321,8,2.5,18,0.82,15.2,
Opponent Total,,,27.2,22.0,36,2,0,2,2,36.6,0.31,2.6,0.12,129,343,37.6,728,110,35.9,32.2,154,53.2,41.8,243,12,4.9,42,1.91,19.1,
