Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
David de Gea,es ESP,GK,32-094,22.0,0,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21.0,5,0,0,27,23,10,72,15,29,0,0,0,132,10,32,23.8,Matches
Marcus Rashford,eng ENG,FW,25-101,19.9,2,0,0,8,15,9,16,5,6,0,0,0,59,17,30,36.2,Matches
Lisandro Martínez,ar ARG,DF,25-022,17.4,4,0,0,17,8,0,0,26,17,0,0,0,115,26,21,55.3,Matches
Christian Eriksen,dk DEN,MF,30-360,16.5,3,0,0,10,6,2,60,8,10,0,0,0,113,7,9,43.8,Matches
Luke Shaw,eng ENG,DF,27-212,16.7,4,0,0,28,14,0,48,22,15,0,0,0,114,24,18,57.1,Matches
Raphaël Varane,fr FRA,DF,29-290,14.4,1,0,0,9,2,2,1,9,7,0,0,1,73,25,11,69.4,Matches
Diogo Dalot,pt POR,DF,23-328,14.1,5,0,0,15,3,0,29,23,25,0,0,0,90,24,11,68.6,Matches
Casemiro,br BRA,MF,30-351,13.7,5,1,0,31,19,0,12,22,26,0,0,0,107,32,15,68.1,Matches
Antony,br BRA,FW,22-350,10.1,3,0,0,4,13,2,18,4,3,0,0,0,50,3,8,27.3,Matches
Jadon Sancho,eng ENG,FW,22-321,8.3,0,0,0,3,5,3,9,4,3,0,0,0,39,2,8,20.0,Matches
Tyrell Malacia,nl NED,DF,23-176,9.4,3,0,0,21,8,1,13,15,17,0,0,0,52,5,3,62.5,Matches
Fred,br BRA,MF,29-341,8.5,4,0,0,19,10,0,9,12,15,0,0,0,74,6,8,42.9,Matches
Scott McTominay,sct SCO,MF,26-063,8.4,5,0,0,19,5,0,2,9,15,0,1,0,50,20,14,58.8,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,6.8,0,0,0,4,1,0,9,13,13,0,0,0,35,5,7,41.7,Matches
Anthony Martial,fr FRA,FW,27-066,5.1,0,0,0,4,3,3,3,1,0,1,0,0,5,5,3,62.5,Matches
Anthony Elanga,se SWE,FW,20-288,4.4,0,0,0,2,7,3,6,1,0,0,0,0,16,7,11,38.9,Matches
Cristiano Ronaldo,pt POR,FW,38-004,5.8,2,0,0,7,5,8,3,1,2,0,0,0,12,15,8,65.2,Matches
Victor Lindelöf,se SWE,DF,28-207,5.0,0,0,0,2,0,0,0,5,3,0,0,0,26,12,5,70.6,Matches
Harry Maguire,eng ENG,DF,29-341,4.3,3,0,0,3,2,0,0,7,3,0,0,0,23,9,8,52.9,Matches
Wout Weghorst,nl NED,FW,30-186,3.0,0,0,0,3,3,2,0,5,1,0,0,0,12,4,8,33.3,Matches
Alejandro Garnacho,es ESP,FW,18-223,3.6,2,0,0,5,5,2,1,4,1,0,0,0,14,2,6,25.0,Matches
Donny van de Beek,nl NED,MF,25-297,1.9,0,0,0,4,2,1,0,1,0,0,0,0,3,3,3,50.0,Matches
Marcel Sabitzer,at AUT,MF,28-329,1.0,1,0,0,2,0,0,2,1,0,0,0,0,8,1,0,100.0,Matches
Facundo Pellistri,uy URU,FW,21-051,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.6,22.0,52,1,0,248,162,48,313,213,211,1,1,1,1238,267,247,51.9,
Opponent Total,,,27.2,22.0,29,0,0,170,241,24,405,256,179,1,2,2,1207,247,267,48.1,
