Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
David de Gea,es ESP,GK,32-094,22.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21.0,51,29,18,19,14,22,43,51.2,21,21,2,19,15,66,27,0,Matches
Marcus Rashford,eng ENG,FW,25-101,19.9,16,6,5,7,4,6,14,42.9,8,24,3,21,5,21,6,0,Matches
Lisandro Martínez,ar ARG,DF,25-022,17.4,35,17,22,11,2,23,29,79.3,6,35,18,17,26,61,80,0,Matches
Christian Eriksen,dk DEN,MF,30-360,16.5,12,10,7,3,2,5,18,27.8,13,17,7,10,8,20,18,1,Matches
Luke Shaw,eng ENG,DF,27-212,16.7,30,15,18,10,2,18,22,81.8,4,29,6,23,22,52,28,1,Matches
Raphaël Varane,fr FRA,DF,29-290,14.4,19,7,16,3,0,5,12,41.7,7,19,12,7,9,28,67,0,Matches
Diogo Dalot,pt POR,DF,23-328,14.1,31,25,26,5,0,19,28,67.9,9,18,6,12,23,54,30,1,Matches
Casemiro,br BRA,MF,30-351,13.7,56,26,27,23,6,29,47,61.7,18,28,6,22,22,78,38,0,Matches
Antony,br BRA,FW,22-350,10.1,14,3,7,5,2,5,15,33.3,10,8,0,8,4,18,3,0,Matches
Jadon Sancho,eng ENG,FW,22-321,8.3,5,3,4,1,0,2,5,40.0,3,6,0,6,4,9,2,0,Matches
Tyrell Malacia,nl NED,DF,23-176,9.4,25,17,19,5,1,7,15,46.7,8,9,2,7,15,40,34,0,Matches
Fred,br BRA,MF,29-341,8.5,24,15,11,10,3,7,20,35.0,13,27,1,26,12,36,8,0,Matches
Scott McTominay,sct SCO,MF,26-063,8.4,19,15,9,6,4,6,10,60.0,4,7,3,4,9,28,34,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,6.8,18,13,13,5,0,10,11,90.9,1,7,1,6,13,31,18,0,Matches
Anthony Martial,fr FRA,FW,27-066,5.1,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,2,0,Matches
Anthony Elanga,se SWE,FW,20-288,4.4,3,0,0,2,1,1,2,50.0,1,4,0,4,1,4,4,0,Matches
Cristiano Ronaldo,pt POR,FW,38-004,5.8,2,2,1,0,1,1,2,50.0,1,0,0,0,1,3,9,0,Matches
Victor Lindelöf,se SWE,DF,28-207,5.0,5,3,3,2,0,2,3,66.7,1,5,2,3,5,10,20,0,Matches
Harry Maguire,eng ENG,DF,29-341,4.3,4,3,3,0,1,3,4,75.0,1,13,8,5,7,11,21,0,Matches
Wout Weghorst,nl NED,FW,30-186,3.0,2,1,1,0,1,0,1,0.0,1,3,1,2,5,7,3,0,Matches
Alejandro Garnacho,es ESP,FW,18-223,3.6,3,1,0,0,3,1,4,25.0,3,5,0,5,4,7,0,0,Matches
Donny van de Beek,nl NED,MF,25-297,1.9,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,1,0,Matches
Marcel Sabitzer,at AUT,MF,28-329,1.0,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,4,0,Matches
Facundo Pellistri,uy URU,FW,21-051,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.6,22.0,374,211,210,117,47,172,308,55.8,136,293,80,213,213,587,465,4,
Opponent Total,,,27.2,22.0,338,179,162,120,56,168,293,57.3,125,301,92,209,256,594,341,6,
