Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David de Gea,es ESP,GK,32-094,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Fernandes,pt POR,"MF,FW",28-154,21,21,1888.0,21.0,5.0,4.0,9.0,4.0,1.0,1.0,5.0,0.0,4.5,3.7,7.1,10.8,41.0,141.0,117.0,0.24,0.19,0.43,0.19,0.38,0.21,0.34,0.55,0.18,0.52,Matches
Marcus Rashford,eng ENG,FW,25-101,22,20,1795.0,19.9,11.0,3.0,14.0,11.0,0.0,0.0,2.0,0.0,8.4,8.4,2.4,10.9,50.0,52.0,148.0,0.55,0.15,0.7,0.55,0.7,0.42,0.12,0.54,0.42,0.54,Matches
Lisandro Martínez,ar ARG,DF,25-022,20,18,1568.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,11.0,59.0,1.0,0.06,0.0,0.06,0.06,0.06,0.01,0.01,0.02,0.01,0.02,Matches
Christian Eriksen,dk DEN,MF,30-360,19,18,1489.0,16.5,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,2.7,2.7,3.0,5.7,16.0,104.0,42.0,0.06,0.42,0.48,0.06,0.48,0.16,0.18,0.34,0.16,0.34,Matches
Luke Shaw,eng ENG,DF,27-212,18,17,1503.0,16.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,1.8,2.4,42.0,80.0,50.0,0.06,0.06,0.12,0.06,0.12,0.03,0.11,0.14,0.03,0.14,Matches
Raphaël Varane,fr FRA,DF,29-290,17,15,1299.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.6,11.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Diogo Dalot,pt POR,DF,23-328,15,14,1268.0,14.1,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,1.5,2.4,34.0,49.0,54.0,0.0,0.14,0.14,0.0,0.14,0.06,0.1,0.17,0.06,0.17,Matches
Casemiro,br BRA,MF,30-351,17,13,1230.0,13.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,1.0,2.1,2.1,2.0,4.0,8.0,82.0,23.0,0.15,0.22,0.37,0.15,0.37,0.15,0.14,0.29,0.15,0.29,Matches
Antony,br BRA,FW,22-350,12,11,908.0,10.1,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.7,2.7,0.4,3.2,48.0,28.0,80.0,0.3,0.0,0.3,0.3,0.3,0.27,0.04,0.32,0.27,0.32,Matches
Jadon Sancho,eng ENG,FW,22-321,11,10,746.0,8.3,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.7,1.7,1.1,2.7,37.0,32.0,67.0,0.36,0.12,0.48,0.36,0.48,0.2,0.13,0.33,0.2,0.33,Matches
Tyrell Malacia,nl NED,DF,23-176,13,9,845.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,14.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Fred,br BRA,MF,29-341,19,7,763.0,8.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.7,1.7,1.1,2.8,7.0,41.0,28.0,0.24,0.0,0.24,0.24,0.24,0.2,0.13,0.33,0.2,0.33,Matches
