2022-07-31,18:01,DFB-Pokal,Round of 64,Sun,Away,D,4 (5),4 (6),Braunschweig,Unnamed: 10,Unnamed: 11,61,"14,126",Marvin Plattenhardt,4-3-3,Tobias Stieler,Match Report,Braunschweig won on penalty kicks following extra time
2023-02-19,17:30,Bundesliga,Matchweek 21,Sun,Away,L,1.0,4.0,Dortmund,1.1,2.5,42.0,81365.0,Marvin Plattenhardt,3-1-4-2,Harm Osmers,Match Report,
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,W,2.0,0.0,Augsburg,0.6,0.5,44.0,40522.0,Marvin Plattenhardt,3-5-2,Matthias Jöllenbeck,Match Report,
2023-03-05,15:30,Bundesliga,Matchweek 23,Sun,Away,L,1.0,4.0,Leverkusen,1.1,1.6,39.0,30210.0,Marvin Plattenhardt,3-5-2,Patrick Ittrich,Match Report,
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1.0,1.0,Mainz 05,1.5,0.5,41.0,41689.0,Marvin Plattenhardt,3-1-4-2,Benjamin Cortus,Match Report,
2023-03-18,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1.0,3.0,Hoffenheim,1.0,2.6,52.0,25027.0,Marvin Plattenhardt,3-5-2,Frank Willenborg,Match Report,
2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1.0,1.0,Freiburg,1.8,1.2,42.0,34700.0,Marvin Plattenhardt,3-5-2,Sven Jablonski,Match Report,
2023-04-08,18:30,Bundesliga,Matchweek 27,Sat,Home,,,,RB Leipzig,,,,,,,,Head-to-Head,
2023-04-14,20:30,Bundesliga,Matchweek 28,Fri,Away,,,,Schalke 04,,,,,,,,Head-to-Head,
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,,,,Werder Bremen,,,,,,,,Head-to-Head,
2023-04-30,15:30,Bundesliga,Matchweek 30,Sun,Away,,,,Bayern Munich,,,,,,,,Head-to-Head,
2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Home,,,,Stuttgart,,,,,,,,Head-to-Head,
2023-05-12,20:30,Bundesliga,Matchweek 32,Fri,Away,,,,Köln,,,,,,,,Head-to-Head,
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Home,,,,Bochum,,,,,,,,Head-to-Head,
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,
