Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Diogo Costa,pt POR,GK,23-196,25,25,2250,25.0,17,0.68,65,49,78.5,18,4,3,12,48.0,3,3,0,0,0.0,Matches
Squad Total,,,27.9,25,25,2250,25.0,17,0.68,65,49,78.5,18,4,3,12,48.0,3,3,0,0,0.0,
Opponent Total,,,26.6,25,25,2248,25.0,55,2.2,138,85,63.0,3,4,18,3,12.0,5,4,0,1,0.0,
