Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Diogo Costa,pt POR,GK,23-181,24.0,17,3,1,1,1,20.9,0.3,4.9,0.2,140,307,45.6,779,121,32.6,33.3,153,34.6,36.7,299,23,7.7,33,1.38,15.8,Matches
Squad Total,,,27.8,24.0,17,3,1,1,1,20.9,0.3,4.9,0.2,140,307,45.6,779,121,32.6,33.3,153,34.6,36.7,299,23,7.7,33,1.38,15.8,
Opponent Total,,,26.5,24.0,55,4,0,5,2,48.7,0.34,-4.3,-0.18,154,409,37.7,611,137,41.6,36.8,269,57.6,45.1,336,21,6.3,23,0.96,12.3,
