Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
4,Inter,15,11,0,4,27,8,19,33,2.2,25.0,10.2,14.8,0.98,13,5,2,6,20,24,-4,17,1.31,25.1,15.1,10.0,0.77
5,Roma,14,9,1,4,20,9,11,28,2.0,22.3,12.1,10.2,0.73,14,6,4,4,18,17,1,22,1.57,21.5,10.2,11.3,0.81
6,Atalanta,13,6,3,4,24,16,8,21,1.62,23.1,11.3,11.7,0.9,15,8,3,4,23,16,7,27,1.8,21.8,18.2,3.6,0.24
7,Juventus,15,11,3,1,34,12,22,36,2.4,26.2,12.7,13.4,0.9,13,7,2,4,12,10,2,23,1.77,14.7,16.7,-2.0,-0.15
8,Bologna,15,7,5,3,20,10,10,26,1.73,17.1,14.8,2.3,0.15,13,4,2,7,16,26,-10,14,1.08,13.0,20.5,-7.5,-0.58
