Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Juan Musso,ar ARG,GK,28-335,22,22,1897,21.1,23,1.09,79,58,73.4,12,4,6,7,31.8,2,2,0,0,0.0,Matches
Marco Sportiello,it ITA,GK,30-331,7,6,623,6.9,9,1.3,26,17,65.4,2,2,2,2,33.3,0,0,0,0,,Matches
Squad Total,,,27.0,28,28,2520,28.0,32,1.14,105,75,71.4,14,6,8,9,32.1,2,2,0,0,0.0,
Opponent Total,,,27.2,28,28,2520,28.0,47,1.68,132,84,68.9,8,6,14,5,17.9,8,6,2,0,25.0,
