Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Ricardo Batista,pt POR,GK,36-138,24.0,787,485,298,71,0,1,0,0,0,0,0,0,507,4,0,Matches
Vasco Fernandes,pt POR,DF,36-145,23.0,1076,994,77,75,1,6,3,2,0,0,0,0,924,5,6,Matches
Lucas Soares,br BRA,"MF,DF",24-337,22.0,974,764,208,18,2,1,74,183,7,4,1,2,721,2,27,Matches
Afonso Taira,pt POR,MF,30-293,18.6,856,821,31,29,6,8,7,0,1,0,0,0,641,4,16,Matches
Nermin Zolotić,ba BIH,DF,29-273,20.4,1194,1134,56,51,2,6,10,5,0,0,0,0,991,4,10,Matches
Saviour Godwin,ng NGA,"FW,MF",26-227,20.2,418,406,6,1,2,0,60,3,0,0,0,0,259,6,26,Matches
Fernando Varela,cv CPV,DF,35-131,16.6,688,661,23,20,0,4,1,3,0,0,0,0,573,4,10,Matches
Leonardo Lelo,pt POR,"MF,DF",23-007,17.4,883,711,169,19,1,2,59,146,4,2,2,0,671,3,23,Matches
Takahiro Kunimoto,jp JPN,"FW,MF",25-180,13.6,497,423,73,16,5,5,66,5,52,19,24,1,335,1,13,Matches
Neto,br BRA,MF,31-216,12.2,519,475,40,19,0,2,35,2,19,10,6,0,407,4,19,Matches
Rafael Martins,br BRA,FW,34-020,12.1,285,260,24,1,1,0,3,0,0,0,0,0,182,1,13,Matches
João Nunes,pt POR,DF,27-138,13.8,650,609,40,24,2,6,7,15,0,0,0,0,510,1,8,Matches
Clayton,br BRA,FW,24-085,11.8,195,172,22,0,1,1,1,0,0,0,0,0,145,1,8,Matches
Derick,br BRA,"MF,DF",29-217,10.7,434,336,93,3,0,2,44,88,2,1,1,0,288,5,17,Matches
Romário Baró,pt POR,"MF,FW",23-071,10.4,291,279,10,6,6,0,4,1,3,1,0,0,239,2,10,Matches
Yuki Soma,jp JPN,"FW,MF",26-040,6.6,205,146,57,19,0,1,60,11,27,14,11,1,125,2,8,Matches
Beni,ao ANG,MF,20-320,5.6,233,228,4,4,0,2,3,0,0,0,0,0,199,1,3,Matches
Yan Brice Eteki,cm CMR,MF,25-223,6.6,267,260,6,6,2,3,1,0,0,0,0,0,221,1,7,Matches
Bolgado,br BRA,DF,24-229,4.5,158,153,4,4,0,2,1,0,0,0,0,0,128,1,1,Matches
Diogo Pinto,pt POR,"FW,MF",23-281,3.2,89,82,7,2,0,0,10,0,5,3,1,1,64,0,4,Matches
Cuca,cv CPV,MF,32-087,3.9,168,166,2,2,0,0,1,0,0,0,0,0,138,0,3,Matches
Felippe Cardoso,br BRA,FW,24-184,1.5,20,18,2,0,0,0,0,0,0,0,0,0,14,0,1,Matches
João,br BRA,GK,24-338,1.0,23,17,6,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Lucas Paes,br BRA,GK,25-120,1.0,34,27,7,1,1,0,0,0,0,0,0,0,28,0,0,Matches
Eduardo Fereira,ve VEN,"FW,MF",22-189,0.6,21,10,11,0,0,0,1,10,1,1,0,0,16,0,1,Matches
Carnejy Antoine,ht HAI,"FW,MF",31-253,1.4,39,37,2,0,0,0,2,0,0,0,0,0,26,0,2,Matches
Vitó Ferreira,pt POR,"MF,FW",25-200,0.8,26,24,2,0,0,0,3,0,2,2,0,0,18,0,2,Matches
Léo Natel,br BRA,FW,26-023,0.6,25,24,1,0,0,1,2,0,1,0,1,0,16,0,1,Matches
Anderson,br BRA,"MF,FW",24-178,0.3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,2,Matches
Francisco Kiki,pt POR,MF,25-051,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
Squad Total,,,29.1,26.0,11065,9732,1281,391,32,53,459,474,124,57,47,5,8410,52,241,
Opponent Total,,,26.6,26.0,14874,13517,1322,387,53,105,506,557,128,72,37,2,12239,35,267,
