Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Ricardo Batista,pt POR,GK,36-138,24.0,22,4,0,1,0,30.2,0.27,8.2,0.34,114,371,30.7,556,86,37.6,34.6,227,71.4,51.3,349,19,5.4,20,0.83,11.7,Matches
João,br BRA,GK,24-338,1.0,2,1,0,0,0,1.7,0.25,-0.3,-0.26,1,6,16.7,17,6,29.4,31.2,6,16.7,27.2,10,0,0.0,0,0.0,11.0,Matches
Lucas Paes,br BRA,GK,25-120,1.0,3,0,0,0,2,1.5,0.22,0.5,0.51,5,10,50.0,28,8,28.6,33.0,6,33.3,32.3,11,0,0.0,2,2.0,17.0,Matches
Squad Total,,,29.1,26.0,27,5,0,1,2,33.4,0.27,8.4,0.32,120,387,31.0,601,100,36.9,34.5,239,69.0,50.2,370,19,5.1,22,0.85,12.1,
Opponent Total,,,26.6,26.0,23,1,2,3,1,26.3,0.31,4.3,0.16,109,254,42.9,587,117,27.3,30.1,200,47.0,39.7,368,14,3.8,35,1.35,17.5,
