Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ricardo Batista,pt POR,GK,36-135,24.0,5,0,0,0,11,0,0,1,0,0,0,0,41,7,1,87.5,Matches
Vasco Fernandes,pt POR,DF,36-142,23.0,5,0,0,11,14,0,3,28,11,0,0,0,121,29,15,65.9,Matches
Lucas Soares,br BRA,"MF,DF",24-334,22.0,5,1,1,16,19,5,74,19,23,0,1,0,125,16,16,50.0,Matches
Afonso Taira,pt POR,MF,30-290,18.6,8,0,0,43,27,0,7,31,43,0,0,0,165,19,18,51.4,Matches
Nermin Zolotić,ba BIH,DF,29-270,20.4,4,1,1,14,30,0,10,33,21,0,1,1,130,25,33,43.1,Matches
Saviour Godwin,ng NGA,"FW,MF",26-224,20.2,5,0,0,44,32,11,60,7,10,0,0,0,93,5,10,33.3,Matches
Fernando Varela,cv CPV,DF,35-128,16.6,2,0,0,10,11,2,1,17,14,0,1,0,87,29,28,50.9,Matches
Leonardo Lelo,pt POR,"MF,DF",23-004,17.4,2,0,0,11,26,2,59,22,12,0,0,0,114,8,11,42.1,Matches
Takahiro Kunimoto,jp JPN,"FW,MF",25-177,13.6,4,0,0,26,14,4,66,6,8,0,0,0,68,5,7,41.7,Matches
Neto,br BRA,MF,31-213,12.2,5,0,0,25,13,0,35,22,10,0,0,0,94,5,4,55.6,Matches
Rafael Martins,br BRA,FW,34-017,12.1,4,0,0,22,21,5,3,0,4,0,0,0,43,32,33,49.2,Matches
João Nunes,pt POR,DF,27-135,13.8,2,0,0,11,8,0,7,18,20,1,0,1,74,29,20,59.2,Matches
Clayton,br BRA,FW,24-082,11.8,5,1,0,40,31,18,1,4,5,0,0,0,24,26,54,32.5,Matches
Derick,br BRA,"MF,DF",29-214,10.7,0,0,0,5,13,1,44,12,9,0,0,0,63,9,13,40.9,Matches
Romário Baró,pt POR,"MF,FW",23-068,10.4,3,0,0,12,18,2,4,10,10,0,1,0,66,7,14,33.3,Matches
Yuki Soma,jp JPN,"FW,MF",26-037,6.6,3,0,0,12,17,1,60,2,8,0,0,0,24,5,4,55.6,Matches
Beni,ao ANG,MF,20-317,5.6,3,1,1,9,4,0,3,12,9,0,0,0,37,6,6,50.0,Matches
Yan Brice Eteki,cm CMR,MF,25-220,6.6,4,0,0,19,30,0,1,6,11,0,1,0,53,2,9,18.2,Matches
Bolgado,br BRA,DF,24-226,4.5,3,0,0,8,2,0,1,6,3,0,2,0,23,15,9,62.5,Matches
Diogo Pinto,pt POR,"FW,MF",23-278,3.2,1,0,0,5,2,0,10,0,4,0,0,0,15,1,3,25.0,Matches
Cuca,cv CPV,MF,32-084,3.9,3,0,0,7,5,0,1,5,7,0,0,0,49,4,6,40.0,Matches
Felippe Cardoso,br BRA,FW,24-181,1.5,1,0,0,7,4,1,0,0,0,0,0,0,7,2,5,28.6,Matches
João,br BRA,GK,24-335,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Lucas Paes,br BRA,GK,25-117,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Eduardo Fereira,ve VEN,"FW,MF",22-186,0.6,0,0,0,0,0,0,1,2,0,0,0,0,3,0,3,0.0,Matches
Carnejy Antoine,ht HAI,"FW,MF",31-250,1.4,0,0,0,2,0,0,2,1,1,0,0,0,6,4,15,21.1,Matches
Vitó Ferreira,pt POR,"MF,FW",25-197,0.8,1,0,0,3,1,0,3,0,1,0,0,0,2,1,1,50.0,Matches
Léo Natel,br BRA,FW,26-020,0.6,0,0,0,1,0,0,2,0,0,0,0,0,3,1,3,25.0,Matches
Anderson,br BRA,"MF,FW",24-175,0.3,1,0,0,3,0,0,0,1,1,0,0,0,1,0,0,,Matches
Francisco Kiki,pt POR,MF,25-048,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,29.1,26.0,79,4,3,366,354,52,459,265,245,1,7,2,1538,293,341,46.2,
Opponent Total,,,26.5,26.0,51,5,2,365,343,35,507,247,225,6,2,1,1487,341,293,53.8,
