Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Dean Henderson,eng ENG,GK,26-022,18.0,31,2,1,5,0,26.9,0.28,-4.1,-0.23,108,334,32.3,513,107,47.2,38.5,156,59.0,45.3,291,20,6.9,27,1.5,15.6,Matches
Keylor Navas,cr CRC,GK,36-109,8.0,15,3,0,1,0,12.2,0.28,-2.8,-0.35,48,155,31.0,221,42,49.8,38.6,68,66.2,46.6,143,9,6.3,8,1.0,11.5,Matches
Wayne Hennessey,wls WAL,GK,36-069,2.0,4,0,0,1,0,3.8,0.35,-0.2,-0.1,16,26,61.5,41,8,41.5,37.1,15,60.0,41.9,22,0,0.0,2,1.0,17.8,Matches
Squad Total,,,27.2,28.0,50,5,1,7,0,42.9,0.28,-7.1,-0.25,172,515,33.4,775,157,47.6,38.5,239,61.1,45.4,456,29,6.4,37,1.32,14.3,
Opponent Total,,,27.7,28.0,23,1,0,4,1,25.5,0.26,3.5,0.13,81,231,35.1,658,145,26.0,29.4,173,34.7,32.9,344,19,5.5,39,1.39,16.2,
