15,West Ham,28,7,6,15.1,26,39,-13,27,0.96,35.7,34.8,+0.9,+0.03,W L D W L,"58,293","Saïd Benrahma, Jarrod Bowen - 4",Łukasz Fabiański,Unnamed: 19
16,Everton,29,6,9,14,23,41,-18,27,0.93,31.5,48.3,-16.8,-0.58,L D W D D,39237,Demarai Gray - 4,Jordan Pickford,
17,Nott'ham Forest,29,6,9,14,24,52,-28,27,0.93,30.3,46.4,-16.1,-0.55,D L L D L,29177,Brennan Johnson - 8,Dean Henderson,
18,Bournemouth,29,7,6,16,27,57,-30,27,0.93,27.8,51.1,-23.3,-0.8,L W L W L,10359,Philip Billing - 6,Neto,
19,Leicester City,29,7,4,18,40,51,-11,25,0.86,34.9,47.1,-12.1,-0.42,L L D L L,31795,Harvey Barnes - 10,Danny Ward,
