Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Dean Henderson,eng ENG,GK,26-025,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0,Matches
Keylor Navas,cr CRC,GK,36-112,9,9,810,9.0,17,1.89,39,22,64.1,1,3,5,1,11.1,3,3,0,0,0.0,Matches
Wayne Hennessey,wls WAL,GK,36-072,2,2,180,2.0,4,2.0,11,7,63.6,0,1,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.2,29,29,2610,29.0,52,1.79,135,81,65.2,6,9,14,7,24.1,8,5,2,1,28.6,
Opponent Total,,,27.6,29,29,2610,29.0,24,0.83,90,65,74.4,14,9,6,10,34.5,3,1,2,0,66.7,
