Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gavin Bazunu,ie IRL,GK,21-045,29.0,47,0,1,7,4,30.3,0.28,-12.7,-0.44,197,570,34.6,843,132,50.7,38.1,208,68.8,50.6,412,33,8.0,45,1.55,15.3,Matches
Squad Total,,,25.2,29.0,47,0,1,7,4,30.3,0.28,-12.7,-0.44,197,570,34.6,843,132,50.7,38.1,208,68.8,50.6,412,33,8.0,45,1.55,15.3,
Opponent Total,,,27.5,29.0,23,1,3,2,0,25.2,0.22,2.2,0.08,132,352,37.5,798,149,32.3,32.0,193,48.7,40.8,400,28,7.0,40,1.38,15.8,
