Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gavin Bazunu,ie IRL,GK,21-026,27,27,2430,27.0,43,1.59,100,60,57.0,6,4,17,4,14.8,1,0,1,0,100.0,Matches
Squad Total,,,25.1,27,27,2430,27.0,43,1.59,100,60,57.0,6,4,17,4,14.8,1,0,1,0,100.0,
Opponent Total,,,27.4,27,27,2430,27.0,20,0.74,93,71,78.5,17,4,6,11,40.7,2,0,2,0,100.0,
