Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
18,Bournemouth,13,4,4,5,13,16,-3,16,1.23,12.0,18.1,-6.1,-0.47,13,2,2,9,12,35,-23,8,0.62,10.1,26.0,-15.9,-1.22
19,Leeds United,13,4,5,4,18,18,0,17,1.31,16.1,19.6,-3.5,-0.27,13,1,3,9,13,24,-11,6,0.46,16.3,19.6,-3.3,-0.25
20,Southampton,13,2,3,8,11,21,-10,9,0.69,14.3,17.4,-3.2,-0.24,14,4,1,9,9,22,-13,13,0.93,11.1,18.8,-7.7,-0.55
