Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Gavin Bazunu,ie IRL,GK,21-027,28.0,1017,732,280,80,0,1,0,0,0,0,0,0,610,5,0,Matches
James Ward-Prowse,eng ENG,MF,28-138,28.0,1669,1414,252,113,1,12,200,4,116,48,54,0,1295,3,29,Matches
Che Adams,sct SCO,FW,26-249,20.8,460,452,7,0,6,7,11,4,0,0,0,0,303,1,17,Matches
Mohammed Salisu,gh GHA,DF,23-336,21.9,1196,1075,115,25,1,10,13,87,0,0,0,0,879,6,12,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-227,19.3,523,508,13,1,6,1,28,9,1,1,0,0,352,2,18,Matches
Kyle Walker-Peters,eng ENG,DF,25-340,19.4,863,679,181,7,1,1,42,174,0,0,0,0,641,3,35,Matches
Romain Perraud,fr FRA,DF,25-178,17.9,788,648,135,5,1,0,73,129,1,0,0,0,558,5,35,Matches
Armel Bella Kotchap,de GER,DF,21-098,16.5,718,694,23,17,1,9,4,5,0,0,0,0,566,1,10,Matches
Roméo Lavia,be BEL,MF,19-072,15.2,605,599,6,3,3,6,2,0,3,0,0,2,525,0,12,Matches
Adam Armstrong,eng ENG,FW,26-037,12.3,266,235,31,0,0,4,14,3,0,0,0,0,196,0,18,Matches
Joe Aribo,ng NGA,"MF,FW",26-241,12.2,354,348,6,0,0,0,7,2,0,0,0,0,258,0,14,Matches
Ibrahima Diallo,fr FRA,MF,24-011,8.9,400,393,7,7,0,2,4,0,0,0,0,0,316,0,9,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-354,11.1,468,449,18,0,1,3,20,8,0,0,0,0,372,1,18,Matches
Jan Bednarek,pl POL,DF,26-341,9.1,425,396,28,21,0,1,1,4,0,0,0,0,350,1,4,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25-202,10.7,453,402,49,6,1,2,7,43,0,0,0,0,360,2,7,Matches
Duje Ćaleta-Car,hr CRO,DF,26-183,8.0,414,393,18,13,0,0,1,1,0,0,0,0,351,3,1,Matches
Lyanco,br BRA,DF,26-046,7.8,343,307,35,8,1,2,3,27,0,0,0,0,242,1,4,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-277,6.4,213,187,25,3,0,2,12,22,0,0,0,0,157,1,9,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",21-032,5.8,157,152,3,0,1,1,10,1,0,0,0,0,113,2,5,Matches
Samuel Edozie,eng ENG,"FW,MF",20-050,6.0,151,150,0,0,1,0,10,0,0,0,0,0,102,1,10,Matches
Theo Walcott,eng ENG,"FW,MF",34-003,5.2,117,113,4,0,0,0,11,1,0,0,0,0,73,0,3,Matches
Carlos Alcaraz,ar ARG,MF,20-109,3.6,110,109,1,0,0,2,0,0,0,0,0,0,89,0,3,Matches
Sekou Mara,fr FRA,"FW,MF",20-232,5.0,87,84,2,0,1,0,1,0,0,0,0,0,58,1,4,Matches
Paul Onuachu,ng NGA,FW,28-295,3.0,63,63,0,0,0,2,0,0,0,0,0,0,44,0,2,Matches
James Bree,eng ENG,DF,25-159,2.2,122,99,23,2,0,1,12,21,0,0,0,0,85,0,3,Matches
Juan Larios,es ESP,DF,19-066,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2,Matches
Oriol Romeu,es ESP,MF,31-176,0.8,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0,Matches
Yan Valery,tn TUN,DF,24-025,0.5,23,23,0,0,0,0,1,0,0,0,0,0,15,0,1,Matches
Jack Stephens,eng ENG,DF,29-051,0.5,28,25,3,1,0,0,0,2,0,0,0,0,23,0,0,Matches
Mislav Oršić,hr CRO,MF,30-080,0.1,3,2,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
Nathan Redmond,eng ENG,DF,29-013,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.1,28.0,12149,10821,1289,312,26,69,493,571,121,49,54,2,9026,39,285,
Opponent Total,,,27.4,28.0,14948,13553,1355,365,34,134,487,603,146,51,54,3,11739,40,306,
