Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,31,15,26,5,0,18,26,69.2,8,29,17,12,22,53,73,2,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,27,16,11,11,5,7,15,46.7,8,18,1,17,13,40,8,0,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,53,34,28,23,2,21,36,58.3,15,26,10,16,36,89,23,0,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,24,14,8,11,5,6,16,37.5,10,16,0,16,7,31,3,0,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,41,30,19,19,3,17,32,53.1,15,28,6,22,19,60,24,0,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,24,11,17,7,0,11,20,55.0,9,17,9,8,16,40,114,0,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,44,27,18,13,13,11,24,45.8,13,20,2,18,6,50,21,0,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,30,19,19,9,2,12,26,46.2,14,20,5,15,20,50,39,0,Matches
Joel Ward,eng ENG,DF,33-103,14.4,26,17,18,3,5,14,16,87.5,2,21,12,9,15,41,46,1,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,29,15,13,13,3,12,26,46.2,14,25,1,24,7,36,9,0,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,21,10,12,6,3,11,15,73.3,4,17,2,15,15,36,27,0,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,21,10,7,10,4,6,9,66.7,3,10,5,5,3,24,14,0,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,3,1,1,2,0,1,3,33.3,2,3,1,2,2,5,10,0,Matches
Chris Richards,us USA,DF,22-318,3.9,7,5,6,1,0,4,6,66.7,2,9,1,8,8,15,26,0,Matches
Will Hughes,eng ENG,MF,27-298,3.6,11,4,4,6,1,4,6,66.7,2,8,4,4,4,15,1,0,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,10,6,5,3,2,6,6,100.0,0,8,1,7,6,16,8,0,Matches
James Tomkins,eng ENG,DF,33-317,1.7,1,0,1,0,0,1,2,50.0,1,1,0,1,3,4,7,0,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,2,1,2,0,0,0,1,0.0,1,1,0,1,0,2,4,0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
David Ozoh,,FW,17-254,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,21.0,407,237,217,142,48,162,286,56.6,124,279,77,202,202,609,466,4,
Opponent Total,,,27.2,21.0,461,270,224,176,61,187,352,53.1,165,249,66,183,192,653,328,4,
