Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Vicente Guaita,es ESP,GK,36-030,21,21,1890,21.0,29,1.38,93,65,69.9,6,6,9,5,23.8,1,1,0,0,0.0,Matches
Squad Total,,,27.7,21,21,1890,21.0,29,1.38,93,65,69.9,6,6,9,5,23.8,1,1,0,0,0.0,
Opponent Total,,,27.2,21,21,1890,21.0,19,0.9,77,58,75.3,9,6,6,9,42.9,2,0,1,1,100.0,
