Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,491,672,73.1,12345,8073,136,138,98.6,200,205,97.6,144,314,45.9,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,1021,1172,87.1,20447,7820,326,358,91.1,584,619,94.3,106,182,58.2,0,0.2,0.2,-0.2,3,69,0,0,64,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,368,460,80.0,5033,1064,241,272,88.6,99,117,84.6,15,27,55.6,2,2.4,2.1,-0.4,21,13,25,2,45,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,623,744,83.7,10423,3255,306,338,90.5,253,294,86.1,51,69,73.9,2,1.6,0.8,0.4,18,72,5,0,79,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,548,694,79.0,8445,2354,317,359,88.3,167,206,81.1,45,94,47.9,3,2.8,2.0,0.2,34,50,17,1,67,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,488,640,76.3,7838,1976,236,289,81.7,194,233,83.3,40,74,54.1,0,0.5,0.4,-0.5,6,40,6,0,59,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,835,1047,79.8,19807,7706,193,212,91.0,488,527,92.6,149,283,52.7,0,0.4,0.3,-0.4,4,68,4,0,44,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,339,446,76.0,4440,795,216,247,87.4,103,136,75.7,7,20,35.0,1,1.2,1.1,-0.2,15,13,5,3,26,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,555,780,71.2,8960,4374,280,339,82.6,237,307,77.2,29,90,32.2,2,0.7,0.8,1.3,7,53,11,5,60,Matches
Joel Ward,eng ENG,DF,33-103,14.4,501,670,74.8,8181,3708,250,285,87.7,201,254,79.1,34,97,35.1,0,0.1,0.2,-0.1,2,37,3,1,49,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,500,709,70.5,8257,2457,262,299,87.6,172,230,74.8,50,121,41.3,4,3.3,2.3,0.7,33,39,19,5,63,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,487,623,78.2,7474,2912,258,294,87.8,205,254,80.7,18,55,32.7,0,0.4,0.3,-0.4,5,38,3,2,35,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,193,269,71.7,2219,429,138,171,80.7,38,61,62.3,3,6,50.0,2,0.9,0.6,1.1,12,7,9,0,27,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,68,94,72.3,791,117,46,59,78.0,12,17,70.6,3,3,100.0,0,0.6,0.1,-0.6,5,4,0,0,4,Matches
Chris Richards,us USA,DF,22-318,3.9,113,137,82.5,2210,680,35,44,79.5,63,70,90.0,15,23,65.2,0,0.3,0.0,-0.3,1,7,0,0,8,Matches
Will Hughes,eng ENG,MF,27-298,3.6,115,158,72.8,1726,564,66,76,86.8,39,55,70.9,7,16,43.8,0,0.0,0.1,0.0,1,10,3,0,13,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,132,162,81.5,2256,678,61,67,91.0,57,69,82.6,11,18,61.1,0,0.2,0.2,-0.2,2,11,1,0,14,Matches
James Tomkins,eng ENG,DF,33-317,1.7,90,111,81.1,1641,581,35,42,83.3,49,54,90.7,6,14,42.9,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,26,35,74.3,351,74,17,18,94.4,9,13,69.2,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,27,31,87.1,488,100,11,11,100.0,13,13,100.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,8,9,88.9,128,23,3,3,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
David Ozoh,,FW,17-254,0.0,3,3,100.0,24,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.7,21.0,7536,9676,77.9,133582,49756,3438,3928,87.5,3190,3742,85.2,737,1514,48.7,16,15.1,11.5,0.9,169,537,111,19,665,
Opponent Total,,,27.2,21.0,9358,11600,80.7,160704,57571,4394,4962,88.6,3793,4387,86.5,889,1574,56.5,19,21.5,20.8,-2.5,209,716,236,56,948,
