Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,0,7,4,57.1,0.35,0.2,0.0,0.0,9.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,6,39,16,41.0,2.11,0.87,0.15,0.38,17.6,0,0,2,5.1,3.3,0.09,0.9,2.7,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,0,22,5,22.7,1.27,0.29,0.0,0.0,26.6,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,3,38,10,26.3,2.24,0.59,0.08,0.3,23.0,9,0,0,2.6,2.6,0.07,0.4,0.4,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,1,16,6,37.5,0.92,0.35,0.06,0.17,18.5,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,1,11,5,45.5,0.67,0.3,0.09,0.2,11.0,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,1,13,6,46.2,0.83,0.38,0.08,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,0,3,1,33.3,0.2,0.07,0.0,0.0,11.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Joel Ward,eng ENG,DF,33-103,14.4,0,1,0,0.0,0.07,0.0,0.0,,16.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,2,23,5,21.7,1.6,0.35,0.09,0.4,21.4,2,0,0,1.3,1.3,0.06,0.7,0.7,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,3,24,10,41.7,2.01,0.84,0.13,0.3,12.4,0,0,0,2.7,2.7,0.11,0.3,0.3,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,1,16,6,37.5,3.27,1.22,0.06,0.17,12.4,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Matches
Chris Richards,us USA,DF,22-318,3.9,0,4,0,0.0,1.03,0.0,0.0,,9.1,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
Will Hughes,eng ENG,MF,27-298,3.6,0,2,2,100.0,0.56,0.56,0.0,0.0,14.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,0,5,0,0.0,1.54,0.0,0.0,,25.4,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
James Tomkins,eng ENG,DF,33-317,1.7,0,1,0,0.0,0.57,0.0,0.0,,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,0,1,0,0.0,10.0,0.0,0.0,,17.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
David Ozoh,,FW,17-254,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.7,21.0,18,226,76,33.6,10.76,3.62,0.08,0.24,18.1,12,0,2,19.6,18.0,0.08,-1.6,0.0,
Opponent Total,,,27.2,21.0,28,283,92,32.5,13.48,4.38,0.1,0.29,15.7,7,1,1,29.6,28.9,0.11,-1.6,-1.9,
