Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,15,0.75,12,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,63,3.41,42,0,7,2,12,0,6,0.33,5,0,0,1,0,0,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,38,2.2,29,0,2,4,1,2,3,0.17,1,0,0,1,0,1,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,59,3.47,34,16,4,1,2,2,8,0.47,4,1,3,0,0,0,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,25,1.44,21,0,1,2,1,0,2,0.12,1,0,0,0,1,0,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,10,0.61,9,1,0,0,0,0,1,0.06,0,1,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,41,2.62,26,0,6,4,4,1,3,0.19,1,0,0,1,1,0,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,16,1.05,13,1,1,0,0,1,2,0.13,2,0,0,0,0,0,Matches
Joel Ward,eng ENG,DF,33-103,14.4,7,0.49,5,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,63,4.39,33,17,5,3,3,2,4,0.28,1,3,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,15,1.21,13,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,30,2.52,22,0,1,6,1,0,3,0.25,3,0,0,0,0,0,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,5,1.02,3,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Chris Richards,us USA,DF,22-318,3.9,2,0.52,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Will Hughes,eng ENG,MF,27-298,3.6,5,1.41,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,2,0.61,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Tomkins,eng ENG,DF,33-317,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,1,2.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,1,10.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
David Ozoh,,FW,17-254,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,21.0,398,18.95,269,38,28,27,28,8,32,1.52,18,5,3,3,2,1,
Opponent Total,,,27.2,21.0,493,23.48,363,48,21,35,22,4,49,2.33,37,1,5,6,0,0,
