Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,712,625,710,2,0,0,712,0,0,,0,,413,2130,1351,0,0,0,1,0,308,0,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,1377,243,783,568,34,15,1377,7,2,28.6,1,14.3,793,3506,2027,7,6,0,9,4,913,2,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,751,10,80,294,389,91,749,91,32,35.2,48,52.7,527,3401,1431,54,31,37,75,70,589,171,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,941,52,274,538,139,5,941,13,9,69.2,4,30.8,458,2331,1146,12,18,0,13,16,548,10,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,884,9,144,445,318,38,884,64,33,51.6,25,39.1,511,2964,1431,39,35,17,39,30,574,65,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,821,46,207,453,177,25,821,29,12,41.4,12,41.4,422,1902,809,20,15,6,18,16,480,35,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,1249,234,721,487,45,20,1249,6,3,50.0,3,50.0,713,3498,1824,4,4,2,6,2,812,5,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,682,32,109,323,270,37,682,69,26,37.7,29,42.0,393,2400,1053,40,21,13,52,42,473,83,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,921,56,339,407,183,15,921,16,7,43.8,6,37.5,421,1677,813,14,11,3,16,11,489,39,Matches
Joel Ward,eng ENG,DF,33-103,14.4,810,81,341,325,148,11,810,6,4,66.7,1,16.7,327,1239,582,7,9,0,12,5,412,23,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,906,9,115,380,426,38,906,63,22,34.9,29,46.0,514,2984,1538,50,34,17,46,23,613,108,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,727,32,228,354,148,3,727,8,3,37.5,4,50.0,322,1328,713,12,10,1,8,1,392,20,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,430,17,48,209,177,54,430,25,7,28.0,17,68.0,220,1080,474,20,17,14,35,34,306,55,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,160,10,24,66,71,23,160,5,2,40.0,3,60.0,80,330,101,4,5,1,17,8,108,22,Matches
Chris Richards,us USA,DF,22-318,3.9,196,39,102,76,18,5,196,0,0,,0,,77,311,151,1,1,0,1,1,100,1,Matches
Will Hughes,eng ENG,MF,27-298,3.6,194,13,46,92,58,6,194,2,0,0.0,2,100.0,88,464,261,4,3,1,5,4,100,9,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,202,16,72,98,35,0,202,0,0,,0,,107,445,150,1,2,0,2,5,118,2,Matches
James Tomkins,eng ENG,DF,33-317,1.7,128,14,89,36,3,0,128,1,1,100.0,0,0.0,72,296,186,1,1,0,2,0,85,1,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,42,6,16,16,10,0,42,0,0,,0,,17,73,46,1,1,0,0,0,22,1,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,21,0,1,8,12,2,21,5,2,40.0,3,60.0,14,107,30,2,1,0,5,0,15,9,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,35,2,10,22,4,0,35,0,0,,0,,24,104,57,0,0,0,0,2,25,1,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,10,0,0,7,3,2,10,0,0,,0,,5,25,7,1,0,1,0,0,8,2,Matches
David Ozoh,,FW,17-254,0.0,4,0,0,0,4,0,4,0,0,,0,,2,1,1,0,0,0,1,0,4,0,Matches
Squad Total,,,27.7,21.0,12203,1546,4459,5206,2672,390,12201,410,165,40.2,187,45.6,6520,32596,16182,294,225,113,363,274,7494,664,
Opponent Total,,,27.2,21.0,14013,1279,4222,6272,3629,600,14012,340,124,36.5,162,47.6,8363,42900,22018,359,304,86,335,245,9295,941,
