Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,1,0,0,1,3,0,0,0,0,0,0,0,21,9,1,90.0,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,7,0,0,15,23,0,0,22,15,0,0,1,121,25,21,54.3,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,3,0,0,21,57,9,22,13,16,1,0,0,73,5,13,27.8,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,6,0,0,22,6,0,2,36,34,0,0,0,125,12,14,46.2,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,1,0,0,13,34,2,49,7,14,0,0,0,112,8,21,27.6,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,5,0,0,36,19,0,8,19,30,0,0,0,100,14,22,38.9,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,3,0,0,16,11,0,4,16,11,0,0,0,100,40,18,69.0,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,1,0,0,28,43,0,18,6,27,0,0,0,86,27,55,32.9,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,3,1,0,16,7,0,27,20,19,0,0,0,94,12,14,46.2,Matches
Joel Ward,eng ENG,DF,33-103,14.4,4,0,0,18,7,0,21,15,17,0,0,0,66,28,18,60.9,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,2,0,0,13,27,3,105,7,15,0,0,0,72,6,14,30.0,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,2,0,0,6,5,0,15,15,10,0,0,0,56,6,10,37.5,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,3,0,0,14,9,7,4,3,10,0,0,0,38,23,24,48.9,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,2,0,0,9,3,3,1,2,1,0,0,0,14,19,27,41.3,Matches
Chris Richards,us USA,DF,22-318,3.9,0,0,0,1,1,1,0,8,5,0,0,0,8,9,2,81.8,Matches
Will Hughes,eng ENG,MF,27-298,3.6,3,0,0,11,4,0,10,4,4,0,1,0,30,1,5,16.7,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,0,0,0,8,2,0,3,6,6,0,0,0,21,6,2,75.0,Matches
James Tomkins,eng ENG,DF,33-317,1.7,2,1,1,2,0,1,0,3,0,0,0,0,12,3,3,50.0,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,50.0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,100.0,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
David Ozoh,,FW,17-254,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.7,21.0,48,2,1,251,263,26,293,202,237,1,1,1,1159,255,285,47.2,
Opponent Total,,,27.2,21.0,40,2,0,270,240,39,420,192,270,0,2,1,1216,285,255,52.8,
