Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Vicente Guaita,es ESP,GK,36-030,21.0,672,473,196,34,0,3,0,0,0,0,0,0,491,3,0,Matches
Marc Guéhi,eng ENG,DF,22-211,20.0,1172,1129,41,40,0,19,0,1,0,0,0,0,1021,2,5,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,18.5,460,445,14,5,2,1,22,2,0,0,0,0,368,1,15,Matches
Cheick Doucouré,ml MLI,MF,23-032,17.3,744,736,8,8,2,2,2,0,0,0,0,0,623,0,19,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,17.0,694,596,93,41,4,4,49,3,38,15,12,1,548,5,5,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,17.3,640,602,36,11,1,1,8,23,0,0,0,0,488,2,13,Matches
Joachim Andersen,dk DEN,DF,26-254,16.4,1047,984,60,53,1,28,4,6,1,0,0,0,835,3,9,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,15.6,446,441,5,2,4,0,18,2,0,0,0,0,339,0,18,Matches
Tyrick Mitchell,eng ENG,DF,23-161,15.2,780,611,167,21,0,0,27,146,0,0,0,0,555,2,32,Matches
Joel Ward,eng ENG,DF,33-103,14.4,670,547,122,23,0,2,21,99,0,0,0,0,501,1,14,Matches
Michael Olise,fr FRA,"MF,FW",21-059,14.4,709,607,101,31,1,9,105,9,50,24,18,3,500,1,29,Matches
Nathaniel Clyne,eng ENG,DF,31-310,12.4,623,497,126,3,0,2,15,123,0,0,0,0,487,0,8,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,11.9,269,256,11,0,0,0,4,0,0,0,0,0,193,2,9,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,4.9,94,89,5,0,0,0,1,0,0,0,0,0,68,0,5,Matches
Chris Richards,us USA,DF,22-318,3.9,137,133,4,3,0,0,0,1,0,0,0,0,113,0,0,Matches
Will Hughes,eng ENG,MF,27-298,3.6,158,146,10,3,0,0,10,2,3,1,2,0,115,2,7,Matches
Luka Milivojević,rs SRB,MF,31-308,3.3,162,154,7,6,0,2,3,1,0,0,0,0,132,1,0,Matches
James Tomkins,eng ENG,DF,33-317,1.7,111,107,4,4,0,0,0,0,0,0,0,0,90,0,2,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,0.5,35,28,7,2,0,0,0,4,1,0,0,0,26,0,1,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,0.2,31,29,1,1,0,0,0,0,0,0,0,0,27,1,1,Matches
Naouirou Ahamada,fr FRA,MF,20-317,0.1,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
David Ozoh,,FW,17-254,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,27.7,21.0,9676,8632,1018,291,15,73,293,422,93,40,32,4,7536,26,194,
Opponent Total,,,27.2,21.0,11600,10572,989,268,23,81,420,439,109,54,31,4,9358,39,222,
